artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Galassi, Galasso (Galasso Ferrarese)",0.0005717552887364208,Cristofano,0.0005717552887364208,1.0,10.772314573921653,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Galassi, Galasso (Galasso Ferrarese)",0.0005717552887364208,Simone,0.0005717552887364208,1.0,10.772314573921653,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.0005717552887364208,"Galassi, Galasso (Galasso Ferrarese)",0.0005717552887364208,1.0,10.772314573921653,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.0005717552887364208,Simone,0.0005717552887364208,1.0,10.772314573921653,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.0005717552887364208,"Galassi, Galasso (Galasso Ferrarese)",0.0005717552887364208,1.0,10.772314573921653,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.0005717552887364208,Cristofano,0.0005717552887364208,1.0,10.772314573921653,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Montepulciano, Marco da",0.0005717552887364208,"Lorenzo, Neri di",0.0005717552887364208,1.0,10.772314573921653,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Lorenzo, Neri di",0.0005717552887364208,"Montepulciano, Marco da",0.0005717552887364208,1.0,10.772314573921653,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Linaiuolo, Berto",0.0005717552887364208,"Camicia, Chimenti",0.0005717552887364208,1.0,10.772314573921653,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Camicia, Chimenti",0.0005717552887364208,"Linaiuolo, Berto",0.0005717552887364208,1.0,10.772314573921653,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bolognese, Biagio (Biagio Pupini)",0.0005717552887364208,"Cotignola, Girolamo da (Girolamo Marchesi)",0.0005717552887364208,1.0,10.772314573921653,[211],['298.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cotignola, Girolamo da (Girolamo Marchesi)",0.0005717552887364208,"Bolognese, Biagio (Biagio Pupini)",0.0005717552887364208,1.0,10.772314573921653,[211],['298.0'],['4'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0005717552887364208,"Cattaneo, Danese (Danese da Carrara)",0.0005717552887364208,1.0,10.772314573921653,[27],['50.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cattaneo, Danese (Danese da Carrara)",0.0005717552887364208,"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0005717552887364208,1.0,10.772314573921653,[27],['50.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cock, Hieronymus",0.0005717552887364208,"Heemskerk, Martin",0.0005717552887364208,1.0,10.772314573921653,[116],['200.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Heemskerk, Martin",0.0005717552887364208,"Cock, Hieronymus",0.0005717552887364208,1.0,10.772314573921653,[116],['200.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Torri, Bartolommeo",0.0005717552887364208,"Clovio, Don Giulio",0.0005717552887364208,1.0,10.772314573921653,[264],['392.0'],['5'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
