Name,Page Range
Antonio Filarete and Simone,1-8
Giuliano da Maiano,9-14
Piero della Francesca [Piero Borghese],15-24
Fra Giovanni da Fiesole [Fra Angelico],25-40
Leon Batista Alberti,41-48
Lazzaro Vasari,49-56
Antonello da Messina,57-64
Alesso Baldovinetti,65-70
Vellano da Padova,71-76
Fra Filippo Lippi,77-88
"Paolo Romano, Maestro Mino [Mino del Regno or Mino del Reame], and Chimenti Camicia",89-94
Andrea dal Castagno of Mugello [Andrea degl' Impiccati] and Domenico Viniziano [Domenico da Venezia],95-106
Gentile da Fabriano and Vittore Pisanello of Verona,107-114
Pesello and Francesco Peselli [Pesellino or Francesco di Pesello],115-118
Benozzo Gozzoli,119-126
Francesco di Giorgio and Lorenzo Vecchietto,127-132
Galasso Ferrarese [Galasso Galassi][Pg vi],133-136
Antonio Rossellino [Rossellino dal Proconsolo] and Bernardo his Brother,137-144
Desiderio da Settignano,145-150
Mino da Fiesole [Mino di Giovanni],151-158
Lorenzo Costa,159-164
Ercole Ferrarese [Ercole da Ferrara],165-170
"Jacopo, Giovanni, and Gentile Bellini",171-184
Cosimo Rosselli,185-190
Cecca,191-200
"Don Bartolommeo della Gatta, Abbot of S. Clemente",201-210
Gherardo,211-216
Domenico Ghirlandajo,217-234
Antonio and Piero Pollaiuolo,235-244
Sandro Botticelli [Alessandro Filipepi or Sandro di Botticello],245-254
Benedetto da Maiano,255-264
Andrea Verrocchio,265-276
Andrea Mantegna,277-286
