Name,Page Range
"Academicians of Design, Painters, Sculptors, and Architects",3-36
Description of the Festive Preparations for the Nuptials of the Prince Don Francesco of Tuscany,37-170
Giorgio Vasari,171-226
Index of Names,227-230
