id,first_name,middle_name,surname,full_name,alias,pages
Agnolo (of Siena),Agnolo,,,Agnolo,Agnolo of Siena,100 101 102 103 104 105 39 97 98 99
"Agobbio, Oderigi d'",Oderigi,d',Agobbio,Oderigi d' Agobbio,,79
Agostino (of Siena),Agostino,,,Agostino,Agostino of Siena,100 101 102 103 104 105 39 97 98 99
"Alberti, Leon Batista",Leon,Batista,Alberti,Leon Batista Alberti,,179
"Angelico, Fra (Fra Giovanni da Fiesole)",Angelico,,,Fra Angelico,Fra Giovanni da Fiesole,162
Apelles,Apelles,,,Apelles,,120 191 80
Apollonio,Apollonio,,,Apollonio,,47 49
"Aretino, Marchionne",Marchionne,,Aretino,Marchionne Aretino,,17 18
"Aretino, Niccolï¿½ (Niccolï¿½ d' Arezzo, or Niccolï¿½ di Piero Lamberti)",Niccolï¿½,,Aretino,Niccolï¿½ Aretino,"Niccolï¿½ d' Arezzo, Niccolï¿½ di Piero Lamberti",130
"Aretino, Spinello",Spinello,,Aretino,Spinello Aretino,,67
"Baldovinetti, Alesso",Alesso,,Baldovinetti,Alesso Baldovinetti,,4 48
"Bologhini, Bartolommeo",Bartolommeo,,Bologhini,Bartolommeo Bologhini,,120
"Bolognese, Franco",Franco,,Bolognese,Franco Bolognese,,79
Bonano,Bonano,,,Bonano,,15 16
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Filippo,,Brunelleschi,Filippo Brunelleschi,Filippo di Ser Brunellesco,130 22 23 26 48
"Buffalmacco, Buonamico",Buonamico,,Buffalmacco,Buonamico Buffalmacco,,135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 170 190 191 211 50 51
"Buonarroti, Michelagnolo",Michelagnolo,,Buonarroti,Michelagnolo Buonarroti,,87
Buono,Buono,,,Buono,,14 15
Buschetto,Buschetto,,,Buschetto,,80
Calandrino,Calandrino,,,Calandrino,,135
"Campi, Fra Ristoro da",Ristoro,,da Campi,Fra Ristoro da Campi,,59
"Capanna, Puccio",Puccio,,Capanna,Puccio Capanna,,85 89 90 91
"Carota, Il (Antonio di Marco di Giano)",Il,,Carota,Il Carota,Antonio di Marco di Giano,125
"Casentino, Jacopo di",Jacopo,,di Casentino,Jacopo di Casentino,,183 185
"Castelfranco, Giorgione da",Giorgione,,da Castelfranco,Giorgione da Castelfranco,,184
"Cavallini, Pietro",Pietro,,Cavallini,Pietro Cavallini,,161 162 163 164 92
"Cennini, Cennino di Drea",Cennino,,di Drea Cennini,Cennino di Drea Cennini,,109 177 221 222
"Cimabue, Giovanni",Giovanni,,Cimabue,Giovanni Cimabue,,10 113 117 145 174 20 21 29 3 4 47 5 50 55 56 58 6 63 7 72 74 8 89 9 94
Cione,Cione,,,Cione,,103 104
"Como, Guido da",Guido,,da Como,Guido da Como,,48
"Danti, Vincenzio",Vincenzio,,Danti,Vincenzio Danti,,36
Donato (Donatello),Donato,,,Donato,Donatello,130 178 48
"Faenza, Ottaviano da",Ottaviano,,da Faenza,Ottaviano da Faenza,,91
"Faenza, Pace da",Pace,,da Faenza,Pace da Faenza,,91
"Falconi, Bernardo Nello di Giovanni",Bernardo,Nello,di Giovanni Falconi,Bernardo Nello di Giovanni Falconi,,197
"Ferrara, Antonio da",Antonio,,da Ferrara,Antonio da Ferrara,,221
"Forlï¿½, Guglielmo da",Guglielmo,,da Forlï¿½,Guglielmo da Forlï¿½,,92
Francesco (called di Maestro Giotto),Francesco,,,Francesco,Francesco di Maestro Giotto,91
Fuccio,Fuccio,,,Fuccio,,30 31
"Gaddi, Agnolo",Agnolo,,Gaddi,Agnolo Gaddi,,185 186 217 218 219 220 221 222 223
"Gaddi, Gaddo",Gaddo,,Gaddi,Gaddo Gaddi,,177 186 217 219 221 50 55 56 57 58
"Gaddi, Giovanni",Giovanni,,Gaddi,Giovanni Gaddi,,185 186 217 221
