s,p,o
<http://www.wikidata.org/entity/Q55942478>,<http://schema.org/name>,"""Francisco del Castillo""@en"
<http://www.wikidata.org/entity/Q55942478>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Francisco del Castillo""@en"
<http://www.wikidata.org/entity/Q55942478>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Francisco del Castillo""@en"
<http://www.wikidata.org/entity/Q16364757>,<http://schema.org/description>,"""Armenian sculptor""@en"
<http://www.wikidata.org/entity/Q45509618>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Xinfu""@en"
<http://www.wikidata.org/entity/Q358348>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Bandinelli""@en"
<http://www.wikidata.org/entity/Q62572872>,<http://schema.org/name>,"""Walter Monich""@en"
<http://www.wikidata.org/entity/Q62572872>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gualtiero d'Alemagna""@en"
<http://www.wikidata.org/entity/Q62572872>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Walter Monich""@en"
<http://www.wikidata.org/entity/Q62572872>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Walter Monich""@en"
<http://www.wikidata.org/entity/Q15783323>,<http://schema.org/name>,"""Andreas Lackner""@en"
<http://www.wikidata.org/entity/Q15783323>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Andreas Lackner""@en"
<http://www.wikidata.org/entity/Q15783323>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Andreas Lackner""@en"
<http://www.wikidata.org/entity/Q106851>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Memling""@en"
<http://www.wikidata.org/entity/Q8537>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Luini""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://schema.org/name>,"""Jean de Cambrai""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Rouppi""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jean Rupy""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""de Rouppy""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jean Rouppi""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Rupy""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jean de Rouppy""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jean de Roupy""@en"
<http://www.wikidata.org/entity/Q10266620>,<http://schema.org/name>,"""Diogo de Contreiras""@en"
<http://www.wikidata.org/entity/Q10266620>,<http://schema.org/description>,"""Portuguese painter (1500-1570)""@en"
<http://www.wikidata.org/entity/Q10266620>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Diogo de Contreiras""@en"
<http://www.wikidata.org/entity/Q10266620>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Diogo de Contreiras""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Jean de Cambrai""@en"
<http://www.wikidata.org/entity/Q10306565>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Jean de Cambrai""@en"
<http://www.wikidata.org/entity/Q2427816>,<http://schema.org/name>,"""Giovanni Battista Trotti""@en"
<http://www.wikidata.org/entity/Q2427816>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Giovanni Battista Trotti""@en"
<http://www.wikidata.org/entity/Q2427816>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Giovanni Battista Trotti""@en"
<http://www.wikidata.org/entity/Q4684801>,<http://schema.org/name>,"""Adriaen Pietersz Crabeth""@en"
<http://www.wikidata.org/entity/Q4684801>,<http://schema.org/description>,"""Dutch renaissance glasspainter (1510-1553)""@en"
