s,p,o
<http://www.wikidata.org/entity/Q4684801>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Adriaen Crabeth""@en"

<http://www.wikidata.org/entity/Q4684801>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Adriaen Pietersz. Crabeth""@en"

<http://www.wikidata.org/entity/Q10479855>,<http://schema.org/name>,"""Edebom\u00E4staren""@en"

<http://www.wikidata.org/entity/Q10479855>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Edebom\u00E4staren""@en"

<http://www.wikidata.org/entity/Q10479855>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Edebom\u00E4staren""@en"

<http://www.wikidata.org/entity/Q1918541>,<http://schema.org/description>,"""Italian manuscript illuminator""@en"

<http://www.wikidata.org/entity/Q16185868>,<http://schema.org/description>,"""Italian manuscript illuminator""@en"

<http://www.wikidata.org/entity/Q94832052>,<http://schema.org/description>,"""Swiss glass painter""@en"

<http://www.wikidata.org/entity/Q96484629>,<http://schema.org/name>,"""Conrad Morandt""@en"

<http://www.wikidata.org/entity/Q96484629>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Conrad Morandt""@en"

<http://www.wikidata.org/entity/Q96484629>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Conrad Morandt""@en"

<http://www.wikidata.org/entity/Q4673699>,<http://schema.org/name>,"""Achille Calici""@en"

<http://www.wikidata.org/entity/Q4673699>,<http://schema.org/description>,"""Italian painter (1565-1604)""@en"

<http://www.wikidata.org/entity/Q4673699>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Achille Calici""@en"

<http://www.wikidata.org/entity/Q4673699>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Achille Calici""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://schema.org/description>,"""Italian artist (1530-1585)""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Adamo Scultor""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Adamo Sculptor""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Adamo Ghisi""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Adamo Scultore""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Adam Ghisi""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://schema.org/name>,"""Adamo Scultori""@en"

<http://www.wikidata.org/entity/Q21645477>,<http://schema.org/name>,"""Adamo Ghisi""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Adamo Scultori""@en"

<http://www.wikidata.org/entity/Q21645477>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Adamo Ghisi""@en"

<http://www.wikidata.org/entity/Q4680183>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Adamo Scultori""@en"

<http://www.wikidata.org/entity/Q21645477>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Adamo Ghisi""@en"

<http://www.wikidata.org/entity/Q4684801>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Adriaen Pietersz Crabeth""@en"

<http://www.wikidata.org/entity/Q4684801>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Adriaen Pietersz Crabeth""@en"

<http://www.wikidata.org/entity/Q16145891>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Amycus Painter""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Giovanni Maria Verdizotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Mario Verdizotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Giovanni Maria Verdizotti""@en"

<http://www.wikidata.org/entity/Q4115413>,<http://schema.org/name>,"""Matrak\u00E7\u0131 Nasuh""@en"

<http://www.wikidata.org/entity/Q4115413>,<http://schema.org/description>,"""Ottoman polymath (1480-1564)""@en"

<http://www.wikidata.org/entity/Q4115413>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Matrak\u00E7\u0131 Nasuh""@en"

<http://www.wikidata.org/entity/Q4115413>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Matrak\u00E7\u0131 Nasuh""@en"

<http://www.wikidata.org/entity/Q4217193>,<http://schema.org/name>,"""Catarino Veneziano""@en"

<http://www.wikidata.org/entity/Q4217193>,<http://schema.org/description>,"""Venetian artist, painter active in the 14th century""@en"

<http://www.wikidata.org/entity/Q4217193>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Catarino Veneziano the Elder""@en"

<http://www.wikidata.org/entity/Q4217193>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Caterino Veneziano I""@en"

<http://www.wikidata.org/entity/Q4217193>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Catarino Veneziano""@en"

<http://www.wikidata.org/entity/Q4217193>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Catarino Veneziano""@en"

<http://www.wikidata.org/entity/Q4217193>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Catarino di Marco di Venezia""@en"

<http://www.wikidata.org/entity/Q20735478>,<http://schema.org/name>,"""Tullio India il Vecchio""@en"

<http://www.wikidata.org/entity/Q20735478>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Tullio India""@en"

<http://www.wikidata.org/entity/Q20735478>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Tullio India il Vecchio""@en"

<http://www.wikidata.org/entity/Q20735478>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Tullio India il Vecchio""@en"

<http://www.wikidata.org/entity/Q26822234>,<http://schema.org/name>,"""Stasias""@en"

<http://www.wikidata.org/entity/Q26822234>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Stasias of Argos""@en"

<http://www.wikidata.org/entity/Q26822234>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Stasias""@en"

<http://www.wikidata.org/entity/Q26822234>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Stasias""@en"

<http://www.wikidata.org/entity/Q26832987>,<http://schema.org/name>,"""S\u00FC Lin""@en"

<http://www.wikidata.org/entity/Q26832987>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""S\u00FC Lin""@en"

<http://www.wikidata.org/entity/Q26832987>,<http://www.w3.org/2000/01/rdf-schema#label>,"""S\u00FC Lin""@en"

<http://www.wikidata.org/entity/Q52240976>,<http://schema.org/name>,"""Bernard Nalot""@en"

<http://www.wikidata.org/entity/Q52240976>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Bernard Nalot""@en"

<http://www.wikidata.org/entity/Q52240976>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Bernard Nalot""@en"

<http://www.wikidata.org/entity/Q205148>,<http://schema.org/name>,"""Filippo Lippi""@en"

<http://www.wikidata.org/entity/Q205148>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Filippo Lippi""@en"

<http://www.wikidata.org/entity/Q205148>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Filippo Lippi""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://schema.org/name>,"""Giovanni Maria Verdizotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://schema.org/description>,"""Italian artist and writer (1525-1600)""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zuan Mario Verdizotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zuan Maria Verdizotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Verdizotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Maria Verdizzotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Maria Verdezotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zuan Verdezotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovanni Mario Verdizzotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zuan Verdizzotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zuan Verdizotti""@en"

<http://www.wikidata.org/entity/Q4107591>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Giovan Mario Verdizzotti""@en"

<http://www.wikidata.org/entity/Q5090848>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zhongmei""@en"

<http://www.wikidata.org/entity/Q3575370>,<http://schema.org/name>,"""Zhang Lu""@en"

<http://www.wikidata.org/entity/Q11069234>,<http://schema.org/name>,"""Zhang Fengyi""@en"

<http://www.wikidata.org/entity/Q11069234>,<http://schema.org/description>,"""Ming dynasty person CBDB = 130605""@en"

<http://www.wikidata.org/entity/Q11069234>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Boqi""@en"

<http://www.wikidata.org/entity/Q890211>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Tianchi""@en"

<http://www.wikidata.org/entity/Q3575370>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Tianchi""@en"

<http://www.wikidata.org/entity/Q698543>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Wengong""@en"

<http://www.wikidata.org/entity/Q45366409>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Wengong""@en"

<http://www.wikidata.org/entity/Q45540454>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Wenxi""@en"

<http://www.wikidata.org/entity/Q152835>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Johann""@en"

<http://www.wikidata.org/entity/Q3575370>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zhang Lu""@en"

<http://www.wikidata.org/entity/Q11069234>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zhang Fengyi""@en"

<http://www.wikidata.org/entity/Q3575370>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zhang Lu""@en"

<http://www.wikidata.org/entity/Q11069234>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zhang Fengyi""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jingyu""@en"

<http://www.wikidata.org/entity/Q45361363>,<http://schema.org/name>,"""Xu Jing""@en"

<http://www.wikidata.org/entity/Q45361363>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Xu Jing""@en"

<http://www.wikidata.org/entity/Q45361363>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Xu Jing""@en"

<http://www.wikidata.org/entity/Q890231>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Tingzhen""@en"

<http://www.wikidata.org/entity/Q290812>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Stephan""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://schema.org/name>,"""Chao Yuezhi""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://schema.org/description>,"""Song dynasty person CBDB = 3029""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Yidao""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Jici""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Yuezhi Chao""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Chao Yuezhi""@en"

<http://www.wikidata.org/entity/Q45379118>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Boyi""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Chao Yuezhi""@en"

<http://www.wikidata.org/entity/Q45508964>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Boyi""@en"

<http://www.wikidata.org/entity/Q11089173>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Boyi""@en"

<http://www.wikidata.org/entity/Q986339>,<http://schema.org/name>,"""Zeng Jing""@en"

<http://www.wikidata.org/entity/Q986339>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zeng Jing""@en"

<http://www.wikidata.org/entity/Q717719>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Yishan""@en"

<http://www.wikidata.org/entity/Q986339>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zeng Jing""@en"

<http://www.wikidata.org/entity/Q45417363>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Gongjing""@en"

<http://www.wikidata.org/entity/Q699485>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Wencheng""@en"

<http://www.wikidata.org/entity/Q716331>,<http://schema.org/name>,"""Li Tang""@en"

<http://www.wikidata.org/entity/Q837459>,<http://schema.org/name>,"""Li Di""@en"

<http://www.wikidata.org/entity/Q716331>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Li Tang""@en"

<http://www.wikidata.org/entity/Q837459>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Li Di""@en"

<http://www.wikidata.org/entity/Q45536553>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Yizhi""@en"

<http://www.wikidata.org/entity/Q716331>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Li Tang""@en"

<http://www.wikidata.org/entity/Q837459>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Li Di""@en"

<http://www.wikidata.org/entity/Q698543>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""gongfu""@en"

<http://www.wikidata.org/entity/Q45601587>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ruming""@en"

<http://www.wikidata.org/entity/Q11138243>,<http://schema.org/name>,"""Shen Tu""@en"

<http://www.wikidata.org/entity/Q11138243>,<http://schema.org/description>,"""painter (1357-1434)""@en"

<http://www.wikidata.org/entity/Q11138243>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Minze""@en"

<http://www.wikidata.org/entity/Q11138243>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zile""@en"

<http://www.wikidata.org/entity/Q11138243>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Shen Du""@en"

<http://www.wikidata.org/entity/Q11138243>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Shen Tu""@en"

<http://www.wikidata.org/entity/Q11138243>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Shen Tu""@en"

<http://www.wikidata.org/entity/Q10567264>,<http://schema.org/name>,"""Huang You""@en"

<http://www.wikidata.org/entity/Q10567264>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Huang You""@en"

<http://www.wikidata.org/entity/Q10567264>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Huang You""@en"

<http://www.wikidata.org/entity/Q95239100>,<http://schema.org/name>,"""Konrad Wagner""@en"

<http://www.wikidata.org/entity/Q95239100>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Konrad Wagner""@en"

<http://www.wikidata.org/entity/Q95239100>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Konrad Wagner""@en"

<http://www.wikidata.org/entity/Q45454989>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Tingzhang""@en"

<http://www.wikidata.org/entity/Q700068>,<http://schema.org/name>,"""Wang Mian""@en"

<http://www.wikidata.org/entity/Q11094141>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Xizhen""@en"

<http://www.wikidata.org/entity/Q2311429>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Mengduan""@en"

<http://www.wikidata.org/entity/Q700068>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Wang Mian""@en"

<http://www.wikidata.org/entity/Q700068>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Wang Mian""@en"

<http://www.wikidata.org/entity/Q540489>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Daniele""@en"

<http://www.wikidata.org/entity/Q11176852>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Tingchen""@en"

<http://www.wikidata.org/entity/Q554943>,<http://schema.org/name>,"""Germain Pilon""@en"

<http://www.wikidata.org/entity/Q554943>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Germain Pilon""@en"

<http://www.wikidata.org/entity/Q554943>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Germain Pilon""@en"

<http://www.wikidata.org/entity/Q8070342>,<http://www.w3.org/2004/02/skos/core#prefLabel>,"""Zhang Xian""@en"

<http://www.wikidata.org/entity/Q8070342>,<http://www.w3.org/2000/01/rdf-schema#label>,"""Zhang Xian""@en"

<http://www.wikidata.org/entity/Q8070342>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Ziye""@en"

<http://www.wikidata.org/entity/Q3575394>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Danian""@en"

<http://www.wikidata.org/entity/Q15929761>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Zhongjing""@en"

<http://www.wikidata.org/entity/Q45599918>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Shiyu""@en"

<http://www.wikidata.org/entity/Q301>,<http://schema.org/description>,"""Greek artist, painter, sculptor and architect, 1541-1614""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domingo Teotoc\u00F3pul""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Teotocopulo""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotokopoulos""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domingo Theotoc\u00F3puli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dominikos Greco""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Le Grec""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Teotopopuli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dom\u00E9nikos Zeotokopoulos""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dom\u00E9nico Theotoc\u00F3puli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dominico Theotocopuli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenikos Theotocopoulos""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dominico, Griego Theotoc\u00F3puli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dom\u00E9nico Theotocopoulos""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theoc\u00F3puli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotokopolis""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dom\u00E9nicos Theotoc\u00F3puli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotocopolo""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenicos Theotocopoulis""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theocopuli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""El Dominico""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domingo de Theotoc\u00F3puli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domingo Greco""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotokopoli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotoskopoli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theoscopoli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Greco""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dom Thoepotuli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenicos Theotocopoulos""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dominico Theotoc\u00F3puli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Tehocopopuli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dom\u00E9nicos Theotoc\u00F3poulos""@en"

<http://www.wikidata.org/entity/Q9058396>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""El Griego""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotokopuli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenicos Theotokopoulos""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dom\u00E9nikos Zeotok\u00F3poulos""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotocopulo""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotocopouli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theotorotoli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Teoscopoli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenico Theopoli""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Domenikos Theotokopolous""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Dominico Greco""@en"

<http://www.wikidata.org/entity/Q301>,<http://www.w3.org/2004/02/skos/core#altLabel>,"""Il Greco""@en"

