"instance_id","rdf:type","rdfs:label","prov:wasGeneratedBy"
"viewsari:lombardo-girolamo-girolamo-ferrarese","viewsari:person","Lombardo, Girolamo (Girolamo Ferrarese)","viewsari:coreference_reconciliation_run_1"
"viewsari:lorenzetti-ambrogio","viewsari:person","Lorenzetti, Ambrogio","viewsari:coreference_reconciliation_run_1"
"viewsari:lorenzi-battista-battista-del-cavaliere","viewsari:person","Lorenzi, Battista (Battista del Cavaliere)","viewsari:coreference_reconciliation_run_1"
"viewsari:lorenzo-neri-di","viewsari:person","Lorenzo, Neri di","viewsari:coreference_reconciliation_run_1"
"viewsari:lotti-lorenzetto-lorenzo","viewsari:person","Lotti, Lorenzetto (Lorenzo)","viewsari:coreference_reconciliation_run_1"
"viewsari:lotto-lorenzo","viewsari:person","Lotto, Lorenzo","viewsari:coreference_reconciliation_run_1"
"viewsari:lugano-tommaso-da","viewsari:person","Lugano, Tommaso da","viewsari:coreference_reconciliation_run_1"
"viewsari:luigi-andrea-l-ingegno","viewsari:person","Luigi, Andrea (L' Ingegno)","viewsari:coreference_reconciliation_run_1"
"viewsari:lunetti-tommaso-di-stefano","viewsari:person","Lunetti, Tommaso di Stefano","viewsari:coreference_reconciliation_run_1"
"viewsari:maiano-benedetto-da","viewsari:person","Maiano, Benedetto da","viewsari:coreference_reconciliation_run_1"
"viewsari:maiano-giuliano-da","viewsari:person","Maiano, Giuliano da","viewsari:coreference_reconciliation_run_1"
"viewsari:mainardi-bastiano-bastiano-da-san-gimignano","viewsari:person","Mainardi, Bastiano (Bastiano da San Gimignano)","viewsari:coreference_reconciliation_run_1"
"viewsari:manno","viewsari:person","Manno","viewsari:coreference_reconciliation_run_1"
"viewsari:mantegna-andrea","viewsari:person","Mantegna, Andrea","viewsari:coreference_reconciliation_run_1"
"viewsari:mantovano-rinaldo","viewsari:person","Mantovano, Rinaldo","viewsari:coreference_reconciliation_run_1"
"viewsari:marchetti-marco-marco-da-faenza","viewsari:person","Marchetti, Marco (Marco da Faenza)","viewsari:coreference_reconciliation_run_1"
"viewsari:marchissi-antonio-di-giorgio","viewsari:person","Marchissi, Antonio di Giorgio","viewsari:coreference_reconciliation_run_1"
"viewsari:marcilla-guglielmo-da-guillaume-de-marcillac","viewsari:person","Marcilla, Guglielmo da (Guillaume de Marcillac)","viewsari:coreference_reconciliation_run_1"
"viewsari:margaritone","viewsari:person","Margaritone","viewsari:coreference_reconciliation_run_1"
"viewsari:marmita-lodovico","viewsari:person","Marmita, Lodovico","viewsari:coreference_reconciliation_run_1"
"viewsari:martino-bartolommeo-di-jacopo-di","viewsari:person","Martino, Bartolommeo di Jacopo di","viewsari:coreference_reconciliation_run_1"
"viewsari:masaccio","viewsari:person","Masaccio","viewsari:coreference_reconciliation_run_1"
"viewsari:matrice-cola-dalla-niccola-filotesio","viewsari:person","Matrice, Cola dalla (Niccola Filotesio)","viewsari:coreference_reconciliation_run_1"
"viewsari:matteo-of-lucca","viewsari:person","Matteo (of Lucca)","viewsari:coreference_reconciliation_run_1"
"viewsari:maturino","viewsari:person","Maturino","viewsari:coreference_reconciliation_run_1"
"viewsari:mazzoni-giulio","viewsari:person","Mazzoni, Giulio","viewsari:coreference_reconciliation_run_1"
"viewsari:mazzuoli-francesco-parmigiano","viewsari:person","Mazzuoli, Francesco (Parmigiano)","viewsari:coreference_reconciliation_run_1"
"viewsari:mazzuoli-girolamo","viewsari:person","Mazzuoli, Girolamo","viewsari:coreference_reconciliation_run_1"
"viewsari:melighino-jacomo-jacopo-melighini","viewsari:person","Melighino, Jacomo (Jacopo Melighini)","viewsari:coreference_reconciliation_run_1"
"viewsari:melone-altobello-da","viewsari:person","Melone, Altobello da","viewsari:coreference_reconciliation_run_1"
"viewsari:memmi-lippo","viewsari:person","Memmi, Lippo","viewsari:coreference_reconciliation_run_1"
"viewsari:memmi-simone-simone-martini-or-sanese","viewsari:person","Memmi, Simone (Simone Martini, or Sanese)","viewsari:coreference_reconciliation_run_1"
"viewsari:menighella","viewsari:person","Menighella","viewsari:coreference_reconciliation_run_1"
"viewsari:menzochi-francesco-francesco-da-forl","viewsari:person","Menzochi, Francesco (Francesco da Forlò)","viewsari:coreference_reconciliation_run_1"
"viewsari:messina-antonello-da","viewsari:person","Messina, Antonello da","viewsari:coreference_reconciliation_run_1"
"viewsari:michelozzo-michelozzi","viewsari:person","Michelozzo Michelozzi","viewsari:coreference_reconciliation_run_1"
"viewsari:milano-giovanni-da","viewsari:person","Milano, Giovanni da","viewsari:coreference_reconciliation_run_1"
"viewsari:minga-andrea-del","viewsari:person","Minga, Andrea del","viewsari:coreference_reconciliation_run_1"
"viewsari:mini-antonio","viewsari:person","Mini, Antonio","viewsari:coreference_reconciliation_run_1"
"viewsari:mino-maestro-mino-del-regno-or-del-reame","viewsari:person","Mino, Maestro (Mino del Regno, or del Reame)","viewsari:coreference_reconciliation_run_1"
"viewsari:moccio","viewsari:person","Moccio","viewsari:coreference_reconciliation_run_1"
"viewsari:modena-pellegrino-da-pellegrino-degli-aretusi-or-de-munari","viewsari:person","Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)","viewsari:coreference_reconciliation_run_1"
"viewsari:montelupo-baccio-da","viewsari:person","Montelupo, Baccio da","viewsari:coreference_reconciliation_run_1"
"viewsari:montelupo-raffaello-da","viewsari:person","Montelupo, Raffaello da","viewsari:coreference_reconciliation_run_1"
"viewsari:montepulciano-marco-da","viewsari:person","Montepulciano, Marco da","viewsari:coreference_reconciliation_run_1"
"viewsari:montorsoli-fra-giovanni-agnolo","viewsari:person","Montorsoli, Fra Giovanni Agnolo","viewsari:coreference_reconciliation_run_1"
"viewsari:morone-domenico","viewsari:person","Morone, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:morone-francesco","viewsari:person","Morone, Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:mosca-simone","viewsari:person","Mosca, Simone","viewsari:coreference_reconciliation_run_1"
"viewsari:moschino-francesco","viewsari:person","Moschino, Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:naldini-battista","viewsari:person","Naldini, Battista","viewsari:coreference_reconciliation_run_1"
"viewsari:nassaro-matteo-dal","viewsari:person","Nassaro, Matteo dal","viewsari:coreference_reconciliation_run_1"
"viewsari:nola-giovanni-da","viewsari:person","Nola, Giovanni da","viewsari:coreference_reconciliation_run_1"
"viewsari:nunziata","viewsari:person","Nunziata","viewsari:coreference_reconciliation_run_1"
"viewsari:orcagna-andrea-di-cione","viewsari:person","Orcagna, Andrea di Cione","viewsari:coreference_reconciliation_run_1"
"viewsari:orcagna-bernardo-di-cione","viewsari:person","Orcagna, Bernardo di Cione","viewsari:coreference_reconciliation_run_1"
"viewsari:orcagna-jacopo-di-cione","viewsari:person","Orcagna, Jacopo di Cione","viewsari:coreference_reconciliation_run_1"
"viewsari:orsino","viewsari:person","Orsino","viewsari:coreference_reconciliation_run_1"
"viewsari:padova-vellano-da","viewsari:person","Padova, Vellano da","viewsari:coreference_reconciliation_run_1"
"viewsari:pagani-lattanzio","viewsari:person","Pagani, Lattanzio","viewsari:coreference_reconciliation_run_1"
"viewsari:palladio-andrea","viewsari:person","Palladio, Andrea","viewsari:coreference_reconciliation_run_1"
"viewsari:palma-jacopo-palma-vecchio","viewsari:person","Palma, Jacopo (Palma Vecchio)","viewsari:coreference_reconciliation_run_1"
"viewsari:panicale-masolino-da","viewsari:person","Panicale, Masolino da","viewsari:coreference_reconciliation_run_1"
"viewsari:parrhasius","viewsari:person","Parrhasius","viewsari:coreference_reconciliation_run_1"
"viewsari:partigiani-pagno-di-lapo","viewsari:person","Partigiani, Pagno di Lapo","viewsari:coreference_reconciliation_run_1"
"viewsari:pecori-domenico","viewsari:person","Pecori, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:pellegrini-pellegrino-pellegrino-da-bologna-or-tibaldi","viewsari:person","Pellegrini, Pellegrino (Pellegrino da Bologna, or Tibaldi)","viewsari:coreference_reconciliation_run_1"
"viewsari:perugino-pietro-pietro-vannucci-or-pietro-da-castel-della-pieve","viewsari:person","Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","viewsari:coreference_reconciliation_run_1"
"viewsari:peruzzi-baldassarre-baldassarre-da-siena","viewsari:person","Peruzzi, Baldassarre (Baldassarre da Siena)","viewsari:coreference_reconciliation_run_1"
"viewsari:pesello","viewsari:person","Pesello","viewsari:coreference_reconciliation_run_1"
"viewsari:piloto","viewsari:person","Piloto","viewsari:coreference_reconciliation_run_1"
"viewsari:pintelli-baccio","viewsari:person","Pintelli, Baccio","viewsari:coreference_reconciliation_run_1"
"viewsari:pinturicchio-bernardino","viewsari:person","Pinturicchio, Bernardino","viewsari:coreference_reconciliation_run_1"
"viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:person","Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani)","viewsari:coreference_reconciliation_run_1"
"viewsari:pisanello-vittore-or-antonio","viewsari:person","Pisanello, Vittore or Antonio","viewsari:coreference_reconciliation_run_1"
"viewsari:pisano-andrea","viewsari:person","Pisano, Andrea","viewsari:coreference_reconciliation_run_1"
"viewsari:pisano-giovanni","viewsari:person","Pisano, Giovanni","viewsari:coreference_reconciliation_run_1"
"viewsari:pisano-niccola","viewsari:person","Pisano, Niccola","viewsari:coreference_reconciliation_run_1"
"viewsari:pisano-nino","viewsari:person","Pisano, Nino","viewsari:coreference_reconciliation_run_1"
"viewsari:pisano-tommaso","viewsari:person","Pisano, Tommaso","viewsari:coreference_reconciliation_run_1"
"viewsari:pistoia-il-leonardo","viewsari:person","Pistoia, Il (Leonardo)","viewsari:coreference_reconciliation_run_1"
"viewsari:pistoiese-fra-paolo","viewsari:person","Pistoiese, Fra Paolo","viewsari:coreference_reconciliation_run_1"
"viewsari:poggini-domenico","viewsari:person","Poggini, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:pollaiuolo-antonio","viewsari:person","Pollaiuolo, Antonio","viewsari:coreference_reconciliation_run_1"
"viewsari:pollaiuolo-piero","viewsari:person","Pollaiuolo, Piero","viewsari:coreference_reconciliation_run_1"
"viewsari:polycletus","viewsari:person","Polycletus","viewsari:coreference_reconciliation_run_1"
"viewsari:ponte-giovanni-dal-giovanni-da-santo-stefano-a-ponte","viewsari:person","Ponte, Giovanni dal (Giovanni da Santo Stefano a Ponte)","viewsari:coreference_reconciliation_run_1"
"viewsari:pontormo-jacopo-da-jacopo-carrucci","viewsari:person","Pontormo, Jacopo da (Jacopo Carrucci)","viewsari:coreference_reconciliation_run_1"
"viewsari:porri-daniello-daniello-da-parma","viewsari:person","Porri, Daniello (Daniello da Parma)","viewsari:coreference_reconciliation_run_1"
"viewsari:porta-fra-guglielmo-della-guglielmo-milanese","viewsari:person","Porta, Fra Guglielmo della (Guglielmo Milanese)","viewsari:coreference_reconciliation_run_1"
"viewsari:prato-francesco-di-girolamo-dal","viewsari:person","Prato, Francesco di Girolamo dal","viewsari:coreference_reconciliation_run_1"
"viewsari:prato-girolamo-dal","viewsari:person","Prato, Girolamo dal","viewsari:coreference_reconciliation_run_1"
"viewsari:primaticcio-francesco-description-of-works","viewsari:person","Primaticcio, Francesco, Description of Works","viewsari:coreference_reconciliation_run_1"
"viewsari:puligo-domenico","viewsari:person","Puligo, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:quercia-jacopo-della-jacopo-della-fonte","viewsari:person","Quercia, Jacopo della (Jacopo della Fonte)","viewsari:coreference_reconciliation_run_1"
"viewsari:ravenna-rondinello-da-niccol-rondinello","viewsari:person","Ravenna, Rondinello da (Niccolò Rondinello)","viewsari:coreference_reconciliation_run_1"
"viewsari:ricciarelli-daniello-daniello-da-volterra","viewsari:person","Ricciarelli, Daniello (Daniello da Volterra)","viewsari:coreference_reconciliation_run_1"
"viewsari:ridolfi-bartolommeo","viewsari:person","Ridolfi, Bartolommeo","viewsari:coreference_reconciliation_run_1"
"viewsari:robbia-agostino-della","viewsari:person","Robbia, Agostino della","viewsari:coreference_reconciliation_run_1"
"viewsari:robbia-andrea-della","viewsari:person","Robbia, Andrea della","viewsari:coreference_reconciliation_run_1"
"viewsari:robbia-girolamo-della","viewsari:person","Robbia, Girolamo della","viewsari:coreference_reconciliation_run_1"
"viewsari:robbia-luca-della","viewsari:person","Robbia, Luca della","viewsari:coreference_reconciliation_run_1"
"viewsari:robbia-luca-della-the-younger","viewsari:person","Robbia, Luca della (the younger)","viewsari:coreference_reconciliation_run_1"
"viewsari:romanino-girolamo","viewsari:person","Romanino, Girolamo","viewsari:coreference_reconciliation_run_1"
"viewsari:romano-domenico","viewsari:person","Romano, Domenico","viewsari:coreference_reconciliation_run_1"
"viewsari:romano-giulio-giulio-pippi-de-giannuzzi","viewsari:person","Romano, Giulio (Giulio Pippi de' Giannuzzi)","viewsari:coreference_reconciliation_run_1"
"viewsari:romano-paolo","viewsari:person","Romano, Paolo","viewsari:coreference_reconciliation_run_1"
"viewsari:rosa-cristofano","viewsari:person","Rosa, Cristofano","viewsari:coreference_reconciliation_run_1"
"viewsari:rosselli-cosimo","viewsari:person","Rosselli, Cosimo","viewsari:coreference_reconciliation_run_1"
"viewsari:rossellino-antonio-rossellino-dal-proconsolo","viewsari:person","Rossellino, Antonio (Rossellino dal Proconsolo)","viewsari:coreference_reconciliation_run_1"
"viewsari:rossi-vincenzio-de","viewsari:person","Rossi, Vincenzio de'","viewsari:coreference_reconciliation_run_1"
"viewsari:rosso-il-giovan-battista-de-rossi","viewsari:person","Rosso, Il (Giovan Battista de' Rossi)","viewsari:coreference_reconciliation_run_1"
"viewsari:rovezzano-benedetto-da","viewsari:person","Rovezzano, Benedetto da","viewsari:coreference_reconciliation_run_1"
"viewsari:ruspoli-ilarione","viewsari:person","Ruspoli, Ilarione","viewsari:coreference_reconciliation_run_1"
"viewsari:rustici-giovan-francesco","viewsari:person","Rustici, Giovan Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:sal-pietro-da","viewsari:person","Salò, Pietro da","viewsari:coreference_reconciliation_run_1"
"viewsari:salai","viewsari:person","Salai","viewsari:coreference_reconciliation_run_1"
"viewsari:salvi-antonio-di","viewsari:person","Salvi, Antonio di","viewsari:coreference_reconciliation_run_1"
"viewsari:salviati-francesco-francesco-de-rossi","viewsari:person","Salviati, Francesco (Francesco de' Rossi)","viewsari:coreference_reconciliation_run_1"
"viewsari:san-gallo-antonio-da-the-elder","viewsari:person","San Gallo, Antonio da (the elder)","viewsari:coreference_reconciliation_run_1"
"viewsari:san-gallo-antonio-da-the-younger","viewsari:person","San Gallo, Antonio da (the younger)","viewsari:coreference_reconciliation_run_1"
"viewsari:san-gallo-aristotile-bastiano-da","viewsari:person","San Gallo, Aristotile (Bastiano) da","viewsari:coreference_reconciliation_run_1"
"viewsari:san-gallo-francesco-da","viewsari:person","San Gallo, Francesco da","viewsari:coreference_reconciliation_run_1"
"viewsari:san-gallo-giuliano-da","viewsari:person","San Gallo, Giuliano da","viewsari:coreference_reconciliation_run_1"
"viewsari:san-gimignano-vincenzio-da-vincenzio-tamagni","viewsari:person","San Gimignano, Vincenzio da (Vincenzio Tamagni)","viewsari:coreference_reconciliation_run_1"
"viewsari:san-marco-fra-bartolommeo-di-baccio-della-porta","viewsari:person","San Marco, Fra Bartolommeo di (Baccio della Porta)","viewsari:coreference_reconciliation_run_1"
"viewsari:san-michele-gian-girolamo","viewsari:person","San Michele, Gian Girolamo","viewsari:coreference_reconciliation_run_1"
"viewsari:san-michele-matteo","viewsari:person","San Michele, Matteo","viewsari:coreference_reconciliation_run_1"
"viewsari:san-michele-michele","viewsari:person","San Michele, Michele","viewsari:coreference_reconciliation_run_1"
"viewsari:san-michele-paolo","viewsari:person","San Michele, Paolo","viewsari:coreference_reconciliation_run_1"
"viewsari:sanese-ugolino-ugolino-da-siena","viewsari:person","Sanese, Ugolino (Ugolino da Siena)","viewsari:coreference_reconciliation_run_1"
"viewsari:sansovino-jacopo-jacopo-tatti","viewsari:person","Sansovino, Jacopo (Jacopo Tatti)","viewsari:coreference_reconciliation_run_1"
"viewsari:sant-agnolo-francesco","viewsari:person","Sant' Agnolo, Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:santa-croce-girolamo","viewsari:person","Santa Croce, Girolamo","viewsari:coreference_reconciliation_run_1"
"viewsari:santi-giovanni-de","viewsari:person","Santi, Giovanni de'","viewsari:coreference_reconciliation_run_1"
"viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:person","Sanzio, Raffaello (Raffaello da Urbino)","viewsari:coreference_reconciliation_run_1"
"viewsari:sarto-andrea-del-andrea-d-agnolo","viewsari:person","Sarto, Andrea del (Andrea d' Agnolo)","viewsari:coreference_reconciliation_run_1"
"viewsari:schiavone-andrea","viewsari:person","Schiavone, Andrea","viewsari:coreference_reconciliation_run_1"
"viewsari:schongauer-martin-martino","viewsari:person","Schongauer, Martin (Martino)","viewsari:coreference_reconciliation_run_1"
"viewsari:serlio-sebastiano","viewsari:person","Serlio, Sebastiano","viewsari:coreference_reconciliation_run_1"
"viewsari:settignano-desiderio-da","viewsari:person","Settignano, Desiderio da","viewsari:coreference_reconciliation_run_1"
"viewsari:settignano-solosmeo-da-antonio-di-giovanni","viewsari:person","Settignano, Solosmeo da (Antonio di Giovanni)","viewsari:coreference_reconciliation_run_1"
"viewsari:sguazzella-andrea","viewsari:person","Sguazzella, Andrea","viewsari:coreference_reconciliation_run_1"
"viewsari:siciolante-girolamo-girolamo-da-sermoneta","viewsari:person","Siciolante, Girolamo (Girolamo da Sermoneta)","viewsari:coreference_reconciliation_run_1"
"viewsari:siena-michelagnolo-da","viewsari:person","Siena, Michelagnolo da","viewsari:coreference_reconciliation_run_1"
"viewsari:siena-pastorino-da","viewsari:person","Siena, Pastorino da","viewsari:coreference_reconciliation_run_1"
"viewsari:signorelli-luca-luca-da-cortona","viewsari:person","Signorelli, Luca (Luca da Cortona)","viewsari:coreference_reconciliation_run_1"
"viewsari:simone","viewsari:person","Simone","viewsari:coreference_reconciliation_run_1"
"viewsari:simone-brother-of-donatello","viewsari:person","Simone (brother of Donatello)","viewsari:coreference_reconciliation_run_1"
"viewsari:sogliani-giovanni-antonio","viewsari:person","Sogliani, Giovanni Antonio","viewsari:coreference_reconciliation_run_1"
"viewsari:soiaro-bernardo-bernardo-de-gatti","viewsari:person","Soiaro, Bernardo (Bernardo de' Gatti)","viewsari:coreference_reconciliation_run_1"
"viewsari:spagnuolo-alonzo-alonzo-berughetta","viewsari:person","Spagnuolo, Alonzo (Alonzo Berughetta)","viewsari:coreference_reconciliation_run_1"
"viewsari:spillo","viewsari:person","Spillo","viewsari:coreference_reconciliation_run_1"
"viewsari:spinelli-parri","viewsari:person","Spinelli, Parri","viewsari:coreference_reconciliation_run_1"
"viewsari:squarcione-jacopo","viewsari:person","Squarcione, Jacopo","viewsari:coreference_reconciliation_run_1"
"viewsari:starnina-gherardo","viewsari:person","Starnina, Gherardo","viewsari:coreference_reconciliation_run_1"
"viewsari:stefano","viewsari:person","Stefano","viewsari:coreference_reconciliation_run_1"
"viewsari:suavius-lambert-lamberto-suave-or-lambert-zutmann","viewsari:person","Suavius, Lambert (Lamberto Suave, or Lambert Zutmann)","viewsari:coreference_reconciliation_run_1"
"viewsari:tadda-francesco-del-francesco-ferrucci","viewsari:person","Tadda, Francesco del (Francesco Ferrucci)","viewsari:coreference_reconciliation_run_1"
"viewsari:tafi-andrea","viewsari:person","Tafi, Andrea","viewsari:coreference_reconciliation_run_1"
"viewsari:tasso-battista-del","viewsari:person","Tasso, Battista del","viewsari:coreference_reconciliation_run_1"
"viewsari:tasso-domenico-del","viewsari:person","Tasso, Domenico del","viewsari:coreference_reconciliation_run_1"
"viewsari:tedesco-jacopo-lapo","viewsari:person","Tedesco, Jacopo (Lapo)","viewsari:coreference_reconciliation_run_1"
"viewsari:tintoretto-jacopo-jacopo-robusti","viewsari:person","Tintoretto, Jacopo (Jacopo Robusti)","viewsari:coreference_reconciliation_run_1"
"viewsari:titi-santi","viewsari:person","Titi, Santi","viewsari:coreference_reconciliation_run_1"
"viewsari:topolino","viewsari:person","Topolino","viewsari:coreference_reconciliation_run_1"
"viewsari:torri-bartolommeo","viewsari:person","Torri, Bartolommeo","viewsari:coreference_reconciliation_run_1"
"viewsari:torrigiano","viewsari:person","Torrigiano","viewsari:coreference_reconciliation_run_1"
"viewsari:traini-francesco","viewsari:person","Traini, Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:trento-antonio-da-antonio-fantuzzi","viewsari:person","Trento, Antonio da (Antonio Fantuzzi)","viewsari:coreference_reconciliation_run_1"
"viewsari:trevio-bernardino-da-bernardino-zenale","viewsari:person","Trevio, Bernardino da (Bernardino Zenale)","viewsari:coreference_reconciliation_run_1"
"viewsari:treviso-girolamo-da-girolamo-trevigi","viewsari:person","Treviso, Girolamo da (Girolamo Trevigi)","viewsari:coreference_reconciliation_run_1"
"viewsari:tribolo-niccol","viewsari:person","Tribolo (Niccolò)","viewsari:coreference_reconciliation_run_1"
"viewsari:turbido-francesco-il-moro","viewsari:person","Turbido, Francesco (Il Moro)","viewsari:coreference_reconciliation_run_1"
"viewsari:ubertini-francesco-francesco-d-albertino-or-il-bacchiacca","viewsari:person","Ubertini, Francesco (Francesco d' Albertino, or Il Bacchiacca)","viewsari:coreference_reconciliation_run_1"
"viewsari:uccello-paolo","viewsari:person","Uccello, Paolo","viewsari:coreference_reconciliation_run_1"
"viewsari:udine-giovanni-da-giovanni-martini","viewsari:person","Udine, Giovanni da (Giovanni Martini)","viewsari:coreference_reconciliation_run_1"
"viewsari:udine-giovanni-da-giovanni-nanni-or-de-ricamatori","viewsari:person","Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)","viewsari:coreference_reconciliation_run_1"
"viewsari:unghero-nanni","viewsari:person","Unghero, Nanni","viewsari:coreference_reconciliation_run_1"
"viewsari:urbino-bramante-da","viewsari:person","Urbino, Bramante da","viewsari:coreference_reconciliation_run_1"
"viewsari:urbino-timoteo-da-timoteo-della-vite","viewsari:person","Urbino, Timoteo da (Timoteo della Vite)","viewsari:coreference_reconciliation_run_1"
"viewsari:vaga","viewsari:person","Vaga","viewsari:coreference_reconciliation_run_1"
"viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:person","Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)","viewsari:coreference_reconciliation_run_1"
"viewsari:valdambrina-francesco-di","viewsari:person","Valdambrina, Francesco di","viewsari:coreference_reconciliation_run_1"
"viewsari:vasari-giorgio","viewsari:person","Vasari, Giorgio","viewsari:coreference_reconciliation_run_1"
"viewsari:vasari-giorgio-son-of-lazzaro-vasari-the-elder","viewsari:person","Vasari, Giorgio (son of Lazzaro Vasari, the elder)","viewsari:coreference_reconciliation_run_1"
"viewsari:vasari-lazzaro-the-elder","viewsari:person","Vasari, Lazzaro (the elder)","viewsari:coreference_reconciliation_run_1"
"viewsari:vasari-lazzaro-the-younger","viewsari:person","Vasari, Lazzaro (the younger)","viewsari:coreference_reconciliation_run_1"
"viewsari:vecchietto-lorenzo","viewsari:person","Vecchietto, Lorenzo","viewsari:coreference_reconciliation_run_1"
"viewsari:vecelli-orazio","viewsari:person","Vecelli, Orazio","viewsari:coreference_reconciliation_run_1"
"viewsari:vecelli-tiziano-tiziano-da-cadore","viewsari:person","Vecelli, Tiziano (Tiziano da Cadore)","viewsari:coreference_reconciliation_run_1"
"viewsari:veltroni-stefano","viewsari:person","Veltroni, Stefano","viewsari:coreference_reconciliation_run_1"
"viewsari:ventura","viewsari:person","Ventura","viewsari:coreference_reconciliation_run_1"
"viewsari:venusti-marcello-marcello-mantovano","viewsari:person","Venusti, Marcello (Marcello Mantovano)","viewsari:coreference_reconciliation_run_1"
"viewsari:verona-fra-giovanni-da","viewsari:person","Verona, Fra Giovanni da","viewsari:coreference_reconciliation_run_1"
"viewsari:verona-sebeto-da","viewsari:person","Verona, Sebeto da","viewsari:coreference_reconciliation_run_1"
"viewsari:veronese-stefano-stefano-da-zevio","viewsari:person","Veronese, Stefano (Stefano da Zevio)","viewsari:coreference_reconciliation_run_1"
"viewsari:verrocchio-andrea","viewsari:person","Verrocchio, Andrea","viewsari:coreference_reconciliation_run_1"
"viewsari:vicentino-valerio-valerio-de-belli","viewsari:person","Vicentino, Valerio (Valerio de' Belli)","viewsari:coreference_reconciliation_run_1"
"viewsari:vico-enea","viewsari:person","Vico, Enea","viewsari:coreference_reconciliation_run_1"
"viewsari:vinci-leonardo-da","viewsari:person","Vinci, Leonardo da","viewsari:coreference_reconciliation_run_1"
"viewsari:vinci-pierino-piero-da","viewsari:person","Vinci, Pierino (Piero) da","viewsari:coreference_reconciliation_run_1"
"viewsari:viniziano-agostino-agostino-de-musi","viewsari:person","Viniziano, Agostino (Agostino de' Musi)","viewsari:coreference_reconciliation_run_1"
"viewsari:viniziano-antonio","viewsari:person","Viniziano, Antonio","viewsari:coreference_reconciliation_run_1"
"viewsari:viniziano-domenico-domenico-da-venezia","viewsari:person","Viniziano, Domenico (Domenico da Venezia)","viewsari:coreference_reconciliation_run_1"
"viewsari:viniziano-niccola","viewsari:person","Viniziano, Niccola","viewsari:coreference_reconciliation_run_1"
"viewsari:visino","viewsari:person","Visino","viewsari:coreference_reconciliation_run_1"
"viewsari:vitruvius","viewsari:person","Vitruvius","viewsari:coreference_reconciliation_run_1"
"viewsari:vittoria-alessandro","viewsari:person","Vittoria, Alessandro","viewsari:coreference_reconciliation_run_1"
"viewsari:vivarino-luigi","viewsari:person","Vivarino, Luigi","viewsari:coreference_reconciliation_run_1"
"viewsari:viviano-michelagnolo-di","viewsari:person","Viviano, Michelagnolo di","viewsari:coreference_reconciliation_run_1"
"viewsari:zevio-aldigieri-altichiero-da","viewsari:person","Zevio, Aldigieri (Altichiero) da","viewsari:coreference_reconciliation_run_1"
"viewsari:zucchero-federigo","viewsari:person","Zucchero, Federigo","viewsari:coreference_reconciliation_run_1"
"viewsari:zucchero-ottaviano","viewsari:person","Zucchero, Ottaviano","viewsari:coreference_reconciliation_run_1"
"viewsari:zucchero-taddeo","viewsari:person","Zucchero, Taddeo","viewsari:coreference_reconciliation_run_1"
