"instance_id","rdf:type","rdfs:label","prov:wasGeneratedBy"
"viewsari:bologhini-bartolommeo","viewsari:person","Bologhini, Bartolommeo","viewsari:coreference_reconciliation_run_1"
"viewsari:bolognese-biagio-biagio-pupini","viewsari:person","Bolognese, Biagio (Biagio Pupini)","viewsari:coreference_reconciliation_run_1"
"viewsari:bolognese-guido","viewsari:person","Bolognese, Guido","viewsari:coreference_reconciliation_run_1"
"viewsari:bolognese-marc-antonio-marc-antonio-raimondi-or-de-franci","viewsari:person","Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)","viewsari:coreference_reconciliation_run_1"
"viewsari:bonsignori-monsignori-francesco","viewsari:person","Bonsignori (Monsignori), Francesco","viewsari:coreference_reconciliation_run_1"
"viewsari:bordone-paris","viewsari:person","Bordone, Paris","viewsari:coreference_reconciliation_run_1"
"viewsari:bosch-hieronymus","viewsari:person","Bosch, Hieronymus","viewsari:coreference_reconciliation_run_1"
"viewsari:botticelli-sandro-sandro-di-botticello-or-alessandro-filipepi","viewsari:person","Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)","viewsari:coreference_reconciliation_run_1"
"viewsari:bramantino-bartolommeo-suardi","viewsari:person","Bramantino (Bartolommeo Suardi)","viewsari:coreference_reconciliation_run_1"
"viewsari:bronzino-agnolo","viewsari:person","Bronzino, Agnolo","viewsari:coreference_reconciliation_run_1"
"viewsari:brugnuoli-bernardino","viewsari:person","Brugnuoli, Bernardino","viewsari:coreference_reconciliation_run_1"
"viewsari:brugnuoli-luigi","viewsari:person","Brugnuoli, Luigi","viewsari:coreference_reconciliation_run_1"
"viewsari:brunelleschi-filippo-filippo-di-ser-brunellesco","viewsari:person","Brunelleschi, Filippo (Filippo di Ser Brunellesco)","viewsari:coreference_reconciliation_run_1"
"viewsari:brusciasorzi-domenico-domenico-del-riccio","viewsari:person","Brusciasorzi, Domenico (Domenico del Riccio)","viewsari:coreference_reconciliation_run_1"
"viewsari:buda-girolamo-del","viewsari:person","Buda, Girolamo del","viewsari:coreference_reconciliation_run_1"
"viewsari:buffalmacco-buonamico","viewsari:person","Buffalmacco, Buonamico","viewsari:coreference_reconciliation_run_1"
"viewsari:bugiardini-giuliano","viewsari:person","Bugiardini, Giuliano","viewsari:coreference_reconciliation_run_1"
"viewsari:buglioni-benedetto","viewsari:person","Buglioni, Benedetto","viewsari:coreference_reconciliation_run_1"
"viewsari:buonarroti-michelagnolo","viewsari:person","Buonarroti, Michelagnolo","viewsari:coreference_reconciliation_run_1"
"viewsari:buono","viewsari:person","Buono","viewsari:coreference_reconciliation_run_1"
"viewsari:buontalenti-bernardo-timante","viewsari:person","Buontalenti, Bernardo Timante","viewsari:coreference_reconciliation_run_1"
