Name,Page Range
Michelagnolo Buonarroti,1-142
Francesco Primaticcio,143-156
Tiziano da Cadore,157-184
Jacopo Sansovino,185-226
Leone Lioni of Arezzo,227-242
Don Giulio Clovio,243-254
Divers Italian Craftsmen still Living,255-262
Divers Flemings,263-272
