Name,Page Range
"Niccolò, called Tribolo",1-38
Pierino [Piero] da Vinci,39-52
Baccio Bandinelli,53-104
Giuliano Bugiardini,105-114
"Cristofano Gherardi, called Doceno",115-144
Jacopo da Pontormo,145-182
Simone Mosca,183-196
"Girolamo and Bartolommeo Genga, and Giovan Battista San Marino",197-214
Michele San Michele,215-242
"Giovanni Antonio Bazzi, called Il Sodoma",243-258
