Name,Page Range
"Bastiano Da San Gallo, called Aristotile",3-22
"Benvenuto Garofalo and Girolamo da Carpi, and Other Lombards",23-58
"Ridolfo, David, and Benedetto Ghirlandajo",59-72
Giovanni da Udine,73-88
Battista Franco,89-110
Giovan Francesco Rustici,111-132
Fra Giovanni Agnolo Montorsoli,133-160
Francesco Salviati,161-196
Daniello Ricciarelli,197-214
Taddeo Zucchero,215-264
