x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
"Ghiberti, Bonaccorso",0.0007733952049497294,Polycletus,0.0007733952049497294,1.0,10.336506559810255,[160],[181],[1]
Cristofano,0.0007733952049497294,Simone,0.0007733952049497294,1.0,10.336506559810255,[104],[112],[1]
Cristofano,0.0007733952049497294,"Galassi, Galasso (Galasso Ferrarese)",0.0007733952049497294,1.0,10.336506559810255,[104],[112],[1]
Simone,0.0007733952049497294,"Galassi, Galasso (Galasso Ferrarese)",0.0007733952049497294,1.0,10.336506559810255,[104],[112],[1]
"Zevio, Aldigieri (Altichiero) da",0.0007733952049497294,"Avanzi, Jacopo (Jacopo Davanzo)",0.0007733952049497294,1.0,10.336506559810255,[55],[60],[3]
"Zevio, Aldigieri (Altichiero) da",0.0007733952049497294,"Verona, Sebeto da",0.0007733952049497294,1.0,10.336506559810255,[55],[60],[3]
"Avanzi, Jacopo (Jacopo Davanzo)",0.0007733952049497294,"Verona, Sebeto da",0.0007733952049497294,1.0,10.336506559810255,[55],[60],[3]
"Marchissi, Antonio di Giorgio",0.0007733952049497294,"Maini (Marini), Michele",0.0007733952049497294,1.0,10.336506559810255,[4],[2],[4]
"Nunziata, Toto del",0.0007733952049497294,"Ceri, Andrea de'",0.0007733952049497294,1.0,10.336506559810255,[191],[299],[5]
"Cattaneo, Danese (Danese da Carrara)",0.0007733952049497294,"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0007733952049497294,1.0,10.336506559810255,[28],[50],[5]
"Menzochi, Francesco (Francesco da Forlï¿½)",0.0007733952049497294,"Lancia, Baldassarre",0.0007733952049497294,1.0,10.336506559810255,[206],[277],[6]
"Gambara, Lattanzio",0.0007733952049497294,"Moretto, Alessandro (Alessandro Bonvicini)",0.0007733952049497294,1.0,10.336506559810255,[50],[78],[7]
"Melone, Altobello da",0.0007733952049497294,"Bembi, Bonifazio",0.0007733952049497294,1.0,10.336506559810255,[43],[60],[7]
"Solari, Cristofano (Cristofano Gobbo)",0.0007733952049497294,"Busto, Agostino (Il Bambaja)",0.0007733952049497294,1.0,10.336506559810255,[55],[85],[7]
"Ghirlandajo, David",0.0015467904098994587,"Ghirlandajo, Benedetto",0.0007733952049497294,0.5,9.336506559810255,[60],[95],[7]
"Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.0007733952049497294,"Cotignola, Francesco da (Francesco de' Zaganelli",0.0015467904098994587,1.0,9.336506559810255,[265],[370],[4]
"Santa Croce, Girolamo",0.0007733952049497294,"Nola, Giovanni da",0.0015467904098994587,1.0,9.336506559810255,[138],[201],[4]
"Dossi, Battista",0.0015467904098994587,"Bernazzano, Cesare",0.0007733952049497294,0.5,9.336506559810255,[141],[208],[4]
"Canneri, Anselmo",0.0015467904098994587,"Caroto, Giovanni",0.0007733952049497294,0.5,9.336506559810255,[22],[38],[5]
"Viviano, Michelagnolo di",0.0015467904098994587,"Prato, Francesco di Girolamo dal",0.0007733952049497294,0.5,9.336506559810255,[73],[90],[6]
"Viviano, Michelagnolo di",0.0015467904098994587,"Buda, Girolamo del",0.0007733952049497294,0.5,9.336506559810255,[56],[66],[6]
