x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
"Galassi, Galasso (Galasso Ferrarese)",0.0006752194463200541,Cristofano,0.0006752194463200541,1.0,10.532355925288849,[104],['112'],['1']
"Galassi, Galasso (Galasso Ferrarese)",0.0006752194463200541,Simone,0.0006752194463200541,1.0,10.532355925288849,[104],['112'],['1']
Cristofano,0.0006752194463200541,Simone,0.0006752194463200541,1.0,10.532355925288849,[104],['112'],['1']
Polycletus,0.0006752194463200541,"Ghiberti, Bonaccorso",0.0006752194463200541,1.0,10.532355925288849,[160],['181'],['1']
"Avanzi, Jacopo (Jacopo Davanzo)",0.0006752194463200541,"Verona, Sebeto da",0.0006752194463200541,1.0,10.532355925288849,[55],['60'],['3']
"Avanzi, Jacopo (Jacopo Davanzo)",0.0006752194463200541,"Zevio, Aldigieri (Altichiero) da",0.0006752194463200541,1.0,10.532355925288849,[55],['60'],['3']
"Verona, Sebeto da",0.0006752194463200541,"Zevio, Aldigieri (Altichiero) da",0.0006752194463200541,1.0,10.532355925288849,[55],['60'],['3']
"Marchissi, Antonio di Giorgio",0.0006752194463200541,"Maini (Marini), Michele",0.0006752194463200541,1.0,10.532355925288849,[4],['2'],['4']
"Ceri, Andrea de'",0.0006752194463200541,"Nunziata, Toto del",0.0006752194463200541,1.0,10.532355925288849,[191],['299'],['5']
"Menzochi, Francesco (Francesco da Forlï¿½)",0.0006752194463200541,"Lancia, Baldassarre",0.0006752194463200541,1.0,10.532355925288849,[206],['277'],['6']
"Moretto, Alessandro (Alessandro Bonvicini)",0.0006752194463200541,"Gambara, Lattanzio",0.0006752194463200541,1.0,10.532355925288849,[50],['78'],['7']
"Melone, Altobello da",0.0006752194463200541,"Bembi, Bonifazio",0.0006752194463200541,1.0,10.532355925288849,[43],['60'],['7']
"Solari, Cristofano (Cristofano Gobbo)",0.0006752194463200541,"Busto, Agostino (Il Bambaja)",0.0006752194463200541,1.0,10.532355925288849,[55],['85'],['7']
"Mini, Antonio",0.0006752194463200541,"Cinque, Battista del",0.0006752194463200541,1.0,10.532355925288849,[51],['68'],['8']
"Cotignola, Francesco da (Francesco de' Zaganelli",0.0013504388926401081,"Ravenna, Rondinello da (Niccolï¿½ Rondinello)",0.0006752194463200541,0.5,9.532355925288849,[265],['370'],['4']
"Bernazzano, Cesare",0.0006752194463200541,"Dossi, Battista",0.0013504388926401081,1.0,9.532355925288849,[141],['208'],['4']
"Santa Croce, Girolamo",0.0006752194463200541,"Nola, Giovanni da",0.0013504388926401081,1.0,9.532355925288849,[138],['201'],['4']
"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",0.0006752194463200541,"Cattaneo, Danese (Danese da Carrara)",0.0013504388926401081,1.0,9.532355925288849,[28],['50'],['5']
"Canneri, Anselmo",0.0013504388926401081,"Caroto, Giovanni",0.0006752194463200541,0.5,9.532355925288849,[22],['38'],['5']
"Buda, Girolamo del",0.0006752194463200541,"Viviano, Michelagnolo di",0.0013504388926401081,1.0,9.532355925288849,[56],['66'],['6']
"Viviano, Michelagnolo di",0.0013504388926401081,"Prato, Francesco di Girolamo dal",0.0006752194463200541,0.5,9.532355925288849,[73],['90'],['6']
"Boccaccino, Boccaccio",0.0013504388926401081,"Melone, Altobello da",0.0006752194463200541,0.5,9.532355925288849,[43],['60'],['7']
"Boccaccino, Boccaccio",0.0013504388926401081,"Bembi, Bonifazio",0.0006752194463200541,0.5,9.532355925288849,[43],['60'],['7']
"Daddi, Bernardo",0.0006752194463200541,"Casentino, Jacopo di",0.002025658338960162,1.0,8.947393424567691,[25],['25'],['1']
"Filarete, Antonio",0.002025658338960162,"Ciuffagni, Bernardo",0.0006752194463200541,0.33333333333333337,8.947393424567691,[7],['11'],['2']
"Mino, Maestro (Mino del Regno, or del Reame)",0.0013504388926401081,"Romano, Paolo",0.002025658338960162,1.0,8.947393424567691,"[91, 92]","['131', '133']","['2', '2']"
"Ghirlandajo, David",0.002025658338960162,"Ghirlandajo, Benedetto",0.0006752194463200541,0.33333333333333337,8.947393424567691,[60],['95'],['7']
"Modena, Pellegrino da (Pellegrino degli Aretusi, or de' Munari)",0.002025658338960162,"Pistoia, Il (Leonardo)",0.0006752194463200541,0.33333333333333337,8.947393424567691,[80],['110'],['4']
"Cock, Hieronymus",0.002025658338960162,"Liefrinck, Hans",0.0006752194463200541,0.33333333333333337,8.947393424567691,[117],['200'],['5']
"Dente, Marco (Marco da Ravenna)",0.0013504388926401081,"Viniziano, Agostino (Agostino de' Musi)",0.002025658338960162,1.0,8.947393424567691,"[106, 103]","['179', '173']","['5', '5']"
"Tafi, Andrea",0.0027008777852802163,"Como, Guido da",0.0006752194463200541,0.25,8.532355925288849,[48],['155'],['0']
"Laurati, Pietro (Pietro Lorenzetti)",0.0013504388926401081,"Bologhini, Bartolommeo",0.0013504388926401081,0.5,8.532355925288849,[120],['260'],['0']
Margaritone,0.0027008777852802163,"Tedesco, Jacopo (Lapo)",0.0006752194463200541,0.25,8.532355925288849,[65],['181'],['0']
"Pollaiuolo, Antonio",0.0027008777852802163,"Pollaiuolo, Piero",0.0013504388926401081,0.5,8.532355925288849,"[243, 240]","['359', '354']","['2', '2']"
"Baldovinetti, Alesso",0.0027008777852802163,Graffione,0.0006752194463200541,0.25,8.532355925288849,[70],['100'],['2']
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",0.0013504388926401081,Baviera,0.0013504388926401081,0.5,8.532355925288849,[233],['321'],['3']
Baviera,0.0013504388926401081,"Caraglio, Giovanni Jacopo",0.0013504388926401081,0.5,8.532355925288849,[109],['186'],['5']
"Dossi, Dosso",0.0027008777852802163,"Bernazzano, Cesare",0.0006752194463200541,0.25,8.532355925288849,[141],['208'],['4']
"Dossi, Dosso",0.0027008777852802163,"Dossi, Battista",0.0013504388926401081,0.5,8.532355925288849,"[141, 140]","['208', '206']","['4', '4']"
