artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
"Galassi, Galasso (Galasso Ferrarese)",0.0007704160246533128,Cristofano,0.0007704160246533128,1.0,10.342074667999139,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Galassi, Galasso (Galasso Ferrarese)",0.0007704160246533128,Simone,0.0007704160246533128,1.0,10.342074667999139,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.0007704160246533128,"Galassi, Galasso (Galasso Ferrarese)",0.0007704160246533128,1.0,10.342074667999139,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Cristofano,0.0007704160246533128,Simone,0.0007704160246533128,1.0,10.342074667999139,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.0007704160246533128,"Galassi, Galasso (Galasso Ferrarese)",0.0007704160246533128,1.0,10.342074667999139,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Simone,0.0007704160246533128,Cristofano,0.0007704160246533128,1.0,10.342074667999139,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Montepulciano, Marco da",0.0007704160246533128,"Lorenzo, Neri di",0.0007704160246533128,1.0,10.342074667999139,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Lorenzo, Neri di",0.0007704160246533128,"Montepulciano, Marco da",0.0007704160246533128,1.0,10.342074667999139,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Linaiuolo, Berto",0.0007704160246533128,"Camicia, Chimenti",0.0007704160246533128,1.0,10.342074667999139,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Camicia, Chimenti",0.0007704160246533128,"Linaiuolo, Berto",0.0007704160246533128,1.0,10.342074667999139,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
