x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
"Ghiberti, Bonaccorso",0.0038910505836575876,Polycletus,0.0038910505836575876,1.0,8.005624549193879,[160],[181],[1]
Cristofano,0.0038910505836575876,Simone,0.0038910505836575876,1.0,8.005624549193879,[104],[112],[1]
Cristofano,0.0038910505836575876,"Galassi, Galasso (Galasso Ferrarese)",0.0038910505836575876,1.0,8.005624549193879,[104],[112],[1]
Simone,0.0038910505836575876,"Galassi, Galasso (Galasso Ferrarese)",0.0038910505836575876,1.0,8.005624549193879,[104],[112],[1]
"Casentino, Jacopo di",0.011673151750972763,"Daddi, Bernardo",0.0038910505836575876,0.3333333333333333,6.420662048472722,[25],[25],[1]
Margaritone,0.01556420233463035,"Tedesco, Jacopo (Lapo)",0.0038910505836575876,0.25,6.005624549193879,[65],[181],[0]
"Tafi, Andrea",0.01556420233463035,"Como, Guido da",0.0038910505836575876,0.25,6.005624549193879,[48],[155],[0]
"Bologhini, Bartolommeo",0.007782101167315175,"Laurati, Pietro (Pietro Lorenzetti)",0.007782101167315175,0.5,6.005624549193879,[120],[260],[0]
Agnolo (of Siena),0.019455252918287938,Agostino (of Siena),0.011673151750972763,0.6,5.683696454306516,"[98, 100, 99]","[225, 227, 226]","[0, 0, 0]"
"Gaddi, Agnolo",0.019455252918287938,"Gaddi, Giovanni",0.0038910505836575876,0.2,5.683696454306516,[217],[406],[0]
"Pisano, Andrea",0.023346303501945526,"Pisano, Nino",0.0038910505836575876,0.16666666666666666,5.420662048472722,[131],[278],[0]
"Quercia, Jacopo della (Jacopo della Fonte)",0.023346303501945526,Matteo (of Lucca),0.0038910505836575876,0.16666666666666666,5.420662048472722,[97],[105],[1]
"Memmi, Lippo",0.011673151750972763,"Memmi, Simone (Simone Martini, or Sanese)",0.027237354085603113,1.0,5.198269627136274,"[172, 173, 174]","[334, 337, 339]","[0, 0, 0]"
"Aretino, Spinello",0.0311284046692607,"Daddi, Bernardo",0.0038910505836575876,0.125,5.005624549193878,[25],[25],[1]
"Robbia, Luca della",0.0311284046692607,"Robbia, Agostino della",0.0038910505836575876,0.125,5.005624549193878,[125],[135],[1]
"Pisano, Tommaso",0.007782101167315175,"Pisano, Andrea",0.023346303501945526,0.5,4.420662048472723,[130],[275],[0]
"Tafi, Andrea",0.01556420233463035,"Gaddi, Gaddo",0.011673151750972763,0.25,4.420662048472723,[56],[167],[0]
"Buffalmacco, Buonamico",0.05058365758754864,"Giovanni, Bruno di",0.007782101167315175,0.15384615384615385,4.305184831052786,"[145, 148]","[293, 298]","[0, 0]"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.07003891050583658,"Ghiberti, Bartoluccio",0.007782101167315175,0.1111111111111111,3.835699547751566,"[145, 144]","[159, 157]","[1, 1]"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.07003891050583658,"Ghiberti, Bonaccorso",0.0038910505836575876,0.05555555555555555,3.835699547751566,[160],[181],[1]
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.07003891050583658,Polycletus,0.0038910505836575876,0.05555555555555555,3.835699547751566,[160],[181],[1]
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.07003891050583658,"Panicale, Masolino da",0.0038910505836575876,0.05555555555555555,3.835699547751566,[171],[194],[1]
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.07003891050583658,"Buonarroti, Michelagnolo",0.0038910505836575876,0.05555555555555555,3.835699547751566,[159],[179],[1]
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.07003891050583658,"Ghiberti, Vittorio",0.0038910505836575876,0.05555555555555555,3.835699547751566,[162],[185],[1]
"Cimabue, Giovanni",0.042801556420233464,"Tafi, Andrea",0.01556420233463035,0.18181818181818182,3.546192930556581,"[50, 56]","[158, 167]","[0, 0]"
"Pisano, Giovanni",0.0311284046692607,Agostino (of Siena),0.011673151750972763,0.125,3.4206620484727224,[98],[225],[0]
"Pisano, Giovanni",0.0311284046692607,"Pisano, Niccola",0.023346303501945526,0.25,3.4206620484727224,"[36, 37]","[126, 127]","[0, 0]"
"Aretino, Spinello",0.0311284046692607,"Casentino, Jacopo di",0.011673151750972763,0.125,3.4206620484727224,[25],[25],[1]
"Banco, Nanni d' Antonio di",0.007782101167315175,Donato (Donatello),0.0933852140077821,1.0,3.4206620484727224,"[115, 114]","[122, 121]","[1, 1]"
Simone (brother of Donatello),0.0038910505836575876,Donato (Donatello),0.0933852140077821,1.0,3.4206620484727224,[251],[278],[1]
Giotto,0.12840466926070038,"Capanna, Puccio",0.0038910505836575876,0.030303030303030307,2.961230429835425,[91],[212],[0]
"Cimabue, Giovanni",0.042801556420233464,"Gaddi, Gaddo",0.011673151750972763,0.09090909090909091,2.9612304298354246,[56],[167],[0]
"Gaddi, Taddeo",0.0311284046692607,"Gaddi, Agnolo",0.019455252918287938,0.125,2.683696454306516,[218],[408],[0]
Agnolo (of Siena),0.019455252918287938,"Pisano, Giovanni",0.0311284046692607,0.2,2.683696454306516,[98],[225],[0]
"Robbia, Luca della",0.0311284046692607,"Spinelli, Parri",0.023346303501945526,0.125,2.420662048472722,[175],[200],[1]
"Orcagna, Andrea di Cione",0.01556420233463035,"Buffalmacco, Buonamico",0.05058365758754864,0.25,2.3051848310527863,[191],[371],[0]
"Uccello, Paolo",0.03501945525291829,Masaccio,0.023346303501945526,0.1111111111111111,2.2507370470304093,[184],[209],[1]
Giotto,0.12840466926070038,"Tafi, Andrea",0.01556420233463035,0.060606060606060615,1.961230429835425,"[50, 51]","[158, 162]","[0, 0]"
Giotto,0.12840466926070038,"Laurati, Pietro (Pietro Lorenzetti)",0.007782101167315175,0.030303030303030307,1.961230429835425,[117],[257],[0]
