artist1,probability_of_artist1,artist2,probability_of_artist2,shared_probability,pmi_score,pages,paragraphs,volume,pmi_activity,start,end
Simone,0.000992063492063492,"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,1.0,8.977279923499918,[104],['82.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Polycletus,0.000992063492063492,"Ghiberti, Bonaccorso",0.001984126984126984,1.0,8.977279923499918,[160],['143.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cellini, Baccio",0.001984126984126984,"Linaiuolo, Berto",0.000992063492063492,0.5,8.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Cellini, Baccio",0.001984126984126984,"Camicia, Chimenti",0.000992063492063492,0.5,8.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Linaiuolo, Berto",0.000992063492063492,"Cellini, Baccio",0.001984126984126984,1.0,8.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Camicia, Chimenti",0.000992063492063492,"Cellini, Baccio",0.001984126984126984,1.0,8.977279923499918,[92],['104.0'],['2'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Zevio, Aldigieri (Altichiero) da",0.001984126984126984,"Verona, Sebeto da",0.000992063492063492,0.5,8.977279923499918,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Verona, Sebeto da",0.000992063492063492,"Zevio, Aldigieri (Altichiero) da",0.001984126984126984,1.0,8.977279923499918,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Verona, Sebeto da",0.000992063492063492,"Avanzi, Jacopo (Jacopo Davanzo)",0.001984126984126984,1.0,8.977279923499918,[55],['61.0'],['3'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Agnolo (of Siena),0.001984126984126984,Agostino (of Siena),0.002976190476190476,1.0,8.39231742277876,"[99, 97]","['131.0', '129.0']","['0', '0']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
Agostino (of Siena),0.002976190476190476,Agnolo (of Siena),0.001984126984126984,0.6666666666666666,8.39231742277876,"[99, 97]","['131.0', '129.0']","['0', '0']",pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
"Bicci, Lorenzo di",0.002976190476190476,"Montepulciano, Marco da",0.000992063492063492,0.3333333333333333,8.39231742277876,[72],['58.0'],['1'],pmi_activity_2024-05-15,2024-05-15T11:56:04,2024-05-15T11:56:04
