Artist 1,Artist 2,Dice Coefficient,Page,Paragraph
"Tafi, Andrea","Como, Guido da",0.5,48,155
"Tafi, Andrea","Cimabue, Giovanni",0.5,50,158
"Tafi, Andrea",Giotto,0.8,50,158
"Tafi, Andrea",Giotto,0.8,51,162
"Cimabue, Giovanni",Giotto,0.6666666666666666,50,158
