Artist 1,Artist 2,Dice Coefficient,Page,Paragraph
"Cimabue, Giovanni","Tafi, Andrea",1.0,56,167
"Cimabue, Giovanni","Gaddi, Gaddo",0.5,56,167
"Tafi, Andrea","Gaddi, Gaddo",0.5,56,167
