artist1,artist2,dice_coefficient,page,paragraph,activity,start,end
"Bicci, Lorenzo di","Montepulciano, Marco da",0.5,71,58,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Bicci, Lorenzo di","Lorenzo, Neri di",0.5,71,58,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Montepulciano, Marco da","Lorenzo, Neri di",1.0,71,58,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
