artist1,artist2,dice_coefficient,page,paragraph,activity,start,end
"Robbia, Luca della",Giotto,0.2,119,93,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Robbia, Luca della",Donato (Donatello),0.2,119,93,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Robbia, Luca della","Robbia, Agostino della",0.2,125,101,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
Giotto,Donato (Donatello),1.0,119,93,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Robbia, Luca della|Robbia, Luca della (the younger)","Robbia, Girolamo della",1.0,126,103,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
