artist1,artist2,dice_coefficient,page,paragraph,activity,start,end
"Memmi, Simone (Simone Martini, or Sanese)","Memmi, Lippo",0.42857142857142855,172,220,dice_activity_biography-level_2024-05-15,2024-05-15T11:58:48,2024-05-15T11:58:48
"Memmi, Simone (Simone Martini, or Sanese)","Memmi, Lippo",0.42857142857142855,173,223,dice_activity_biography-level_2024-05-15,2024-05-15T11:58:48,2024-05-15T11:58:48
"Memmi, Simone (Simone Martini, or Sanese)","Memmi, Lippo",0.42857142857142855,174,224,dice_activity_biography-level_2024-05-15,2024-05-15T11:58:48,2024-05-15T11:58:48
