Artist 1,Artist 2,Dice Coefficient,Page,Paragraph
"Buffalmacco, Buonamico","Giovanni, Bruno di",0.2857142857142857,145,293
"Buffalmacco, Buonamico","Giovanni, Bruno di",0.2857142857142857,148,298
