artist1,artist2,dice_coefficient,page,paragraph,activity,start,end
Cristofano,Simone,1.0,104,82,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
Cristofano,"Avanzi, Jacopo (Jacopo Davanzo)",1.0,104,82,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
Cristofano,"Galassi, Galasso (Galasso Ferrarese)",1.0,104,82,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
Simone,"Avanzi, Jacopo (Jacopo Davanzo)",1.0,104,82,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
Simone,"Galassi, Galasso (Galasso Ferrarese)",1.0,104,82,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
"Avanzi, Jacopo (Jacopo Davanzo)","Galassi, Galasso (Galasso Ferrarese)",1.0,104,82,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
