artist1,artist2,dice_coefficient,page,paragraph,activity,start,end
Donato (Donatello),"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",0.125,240,220,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
Donato (Donatello),Simone (brother of Donatello),0.125,251,230,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
Donato (Donatello),"Buonarroti, Michelagnolo",0.125,255,239,dice_activity_biography-level_2024-05-15,2024-05-15T12:25:22,2024-05-15T12:25:22
