artist1,artist2,shared_count,pmi_score,page,paragraph,activity,start,end
"Gaddi, Gaddo",Giotto,1,2.9068905956085187,177,229,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
"Gaddi, Taddeo","Memmi, Simone (Simone Martini, or Sanese)",1,0.09953567355091437,183,243,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
"Gaddi, Taddeo","Gaddi, Giovanni|Milano, Giovanni da",1,0.09953567355091437,185,245,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
