artist1,artist2,shared_count,pmi_score,page,paragraph,activity,start,end
"Gaddi, Agnolo","Gaddi, Giovanni",1,0.15200309344504975,217,279,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
"Gaddi, Agnolo","Gaddi, Taddeo",1,0.15200309344504975,217,280,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
"Gaddi, Agnolo","Gaddi, Taddeo",1,0.15200309344504975,218,280,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
