artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Galassi, Galasso (Galasso Ferrarese)",Cristofano,1.0,[104],['112'],['1']
"Galassi, Galasso (Galasso Ferrarese)",Simone,1.0,[104],['112'],['1']
Cristofano,Simone,1.0,[104],['112'],['1']
"Ghiberti, Bonaccorso",Polycletus,1.0,[160],['181'],['1']
"Romano, Paolo","Mino, Maestro (Mino del Regno, or del Reame)",1.0,"[92, 91]","['133', '131']","['2', '2']"
Agnolo (of Siena),Agostino (of Siena),0.75,"[98, 99, 100]","['225', '226', '227']","['0', '0', '0']"
"Mainardi, Bastiano (Bastiano da San Gimignano)","Ghirlandajo, David",0.6666666666666666,[231],['339'],['2']
"Rosselli, Cosimo","Cosimo, Andrea di (Andrea di Cosimo Feltrini)",0.6666666666666666,[189],['281'],['2']
"Pollaiuolo, Piero","Pollaiuolo, Antonio",0.6666666666666666,"[240, 243]","['354', '359']","['2', '2']"
"Memmi, Lippo","Memmi, Simone (Simone Martini, or Sanese)",0.6,"[173, 174, 172]","['337', '339', '334']","['0', '0', '0']"
"Bellini, Jacopo","Bellini, Gentile",0.5714285714285714,"[174, 175]","['252', '254']","['2', '2']"
"Castagno, Andrea dal (Andrea degli Impiccati)","Viniziano, Domenico (Domenico da Venezia)",0.5714285714285714,"[101, 103, 102, 104]","['144', '147', '145', '149']","['2', '2', '2', '2']"
"Bologhini, Bartolommeo","Laurati, Pietro (Pietro Lorenzetti)",0.5,[120],['260'],['0']
"Daddi, Bernardo","Casentino, Jacopo di",0.5,[25],['25'],['1']
"Bellini, Giovanni","Bellini, Gentile",0.5,"[174, 182, 179]","['252', '263', '259']","['2', '2', '2']"
"Filarete, Antonio","Ciuffagni, Bernardo",0.5,[7],['11'],['2']
Margaritone,"Tedesco, Jacopo (Lapo)",0.4,[65],['181'],['0']
"Tafi, Andrea","Como, Guido da",0.4,[48],['155'],['0']
Simone (brother of Donatello),"Filarete, Antonio",0.4,[4],['6'],['2']
"Maiano, Giuliano da","Donzello, Polito del",0.4,[14],['20'],['2']
"Baldovinetti, Alesso",Graffione,0.4,[70],['100'],['2']
"Fabriano, Gentile da","Pisanello, Vittore or Antonio",0.4,[113],['161'],['2']
"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)","Angelo, Lorentino d'",0.36363636363636365,"[23, 22]","['35', '31']","['2', '2']"
"Gaddi, Agnolo","Gaddi, Giovanni",0.3333333333333333,[217],['406'],['0']
"Maiano, Giuliano da","Maiano, Benedetto da",0.3333333333333333,"[14, 13]","['20', '18']","['2', '2']"
"Squarcione, Jacopo","Mantegna, Andrea",0.3333333333333333,[280],['418'],['2']
"Bellini, Gentile","Vivarino, Luigi",0.3333333333333333,[179],['259'],['2']
"Pisano, Giovanni","Pisano, Niccola",0.2857142857142857,"[36, 37]","['126', '127']","['0', '0']"
"Tafi, Andrea","Gaddi, Gaddo",0.2857142857142857,[56],['167'],['0']
"Pisano, Nino","Pisano, Andrea",0.2857142857142857,[131],['278'],['0']
"Ghirlandajo, Domenico","Mainardi, Bastiano (Bastiano da San Gimignano)",0.2857142857142857,"[233, 231]","['342', '339']","['2', '2']"
"Gozzoli, Benozzo","Forlï¿½, Melozzo da",0.2857142857142857,[124],['181'],['2']
"Viniziano, Domenico (Domenico da Venezia)","Messina, Antonello da",0.2857142857142857,[63],['88'],['2']
"Buffalmacco, Buonamico","Giovanni, Bruno di",0.26666666666666666,"[148, 145]","['298', '293']","['0', '0']"
"Cimabue, Giovanni","Tafi, Andrea",0.26666666666666666,"[56, 50]","['167', '158']","['0', '0']"
"Pisano, Andrea","Pisano, Tommaso",0.25,[130],['275'],['0']
"Quercia, Jacopo della (Jacopo della Fonte)",Matteo (of Lucca),0.25,[97],['105'],['1']
"Ghiberti, Bartoluccio","Pollaiuolo, Antonio",0.25,[237],['346'],['2']
"Bellini, Giovanni","Vivarino, Luigi",0.25,[179],['259'],['2']
"Verrocchio, Andrea",Orsino,0.25,[276],['413'],['2']
"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",Biagio (pupil of Botticelli),0.25,[252],['372'],['2']
"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",Apelles,0.25,[254],['376'],['2']
Giotto,"Cimabue, Giovanni",0.22727272727272727,"[8, 94, 72, 9, 50]","['81', '218', '189', '88', '158']","['0', '0', '0', '0', '0']"
"Robbia, Luca della","Robbia, Agostino della",0.2222222222222222,[125],['135'],['1']
"Aretino, Spinello","Daddi, Bernardo",0.2222222222222222,[25],['25'],['1']
"Donzello, Polito del","Maiano, Benedetto da",0.2222222222222222,[14],['20'],['2']
"Maiano, Benedetto da","Tasso, Domenico del",0.2222222222222222,[262],['388'],['2']
"Maiano, Benedetto da","Cronaca, Il (Simone del Pollaiuolo)",0.2222222222222222,[260],['385'],['2']
"Bellini, Jacopo","Bellini, Giovanni",0.2222222222222222,[174],['252'],['2']
"Bellini, Giovanni","Vecelli, Tiziano (Tiziano da Cadore)",0.2222222222222222,[183],['265'],['2']
"Verrocchio, Andrea","Vinci, Leonardo da",0.2222222222222222,[271],['402'],['2']
"Ghirlandajo, Domenico","Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",0.21052631578947367,"[248, 222]","['366', '327']","['2', '2']"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.2033898305084746,"[204, 241, 201, 203, 200, 243]","['231', '269', '228', '230', '227', '270']","['1', '1', '1', '1', '1', '1']"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.19607843137254902,"[86, 201, 217, 215, 214]","['91', '228', '242', '241', '240']","['1', '1', '1', '1', '1']"
"Pisano, Giovanni",Agostino (of Siena),0.18181818181818182,[98],['225'],['0']
"Viniziano, Antonio","Bellini, Giovanni",0.18181818181818182,[176],['256'],['2']
"Aretino, Spinello","Casentino, Jacopo di",0.18181818181818182,[25],['25'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Bartoluccio",0.17391304347826086,"[144, 145]","['157', '159']","['1', '1']"
"Vasari, Lazzaro (the elder)","Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)",0.16666666666666666,[52],['76'],['2']
"Pisano, Giovanni",Agnolo (of Siena),0.15384615384615385,[98],['225'],['0']
"Gaddi, Taddeo","Gaddi, Agnolo",0.15384615384615385,[218],['408'],['0']
"Ghirlandajo, Domenico","Ghirlandajo, David",0.15384615384615385,[231],['339'],['2']
"Cimabue, Giovanni","Gaddi, Gaddo",0.14285714285714285,[56],['167'],['0']
"Robbia, Luca della","Spinelli, Parri",0.14285714285714285,[175],['200'],['1']
Donato (Donatello),"Banco, Nanni d' Antonio di",0.13793103448275862,"[114, 115]","['121', '122']","['1', '1']"
