artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Bellini, Gentile","Vivarino, Luigi",0.3333333333333333,[179],['259'],['2']
"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)","Angelo, Lorentino d'",0.3333333333333333,"[23, 22]","['35', '31']","['2', '2']"
"Caporali, Benedetto (Giovan Battista)","Signorelli, Luca (Luca da Cortona)",0.3333333333333333,[76],['91'],['3']
"Ghirlandajo, Ridolfo","Nunziata, Toto del",0.3333333333333333,[191],['299'],['5']
"Ghirlandajo, Ridolfo","Ceri, Andrea de'",0.3333333333333333,[191],['299'],['5']
"Cosini, Silvio (Silvio da Fiesole)","Fiesole, Andrea da (Andrea Ferrucci)",0.3333333333333333,[8],['9'],['4']
"Libri, Girolamo dai","Libri, Francesco dai (the younger)",0.3333333333333333,[54],['98'],['5']
"Vasari, Giorgio","Cock, Hieronymus",0.3333333333333333,[120],['204'],['5']
"Cellini, Benvenuto","Rossi, Vincenzio de'",0.3333333333333333,[94],['119'],['6']
Liberale,"Turbido, Francesco (Il Moro)",0.3076923076923077,"[24, 23]","['43', '41']","['5', '5']"
"Pisano, Giovanni","Pisano, Niccola",0.2857142857142857,"[36, 37]","['126', '127']","['0', '0']"
"Tafi, Andrea","Gaddi, Gaddo",0.2857142857142857,[56],['167'],['0']
"Pisano, Nino","Pisano, Andrea",0.2857142857142857,[131],['278'],['0']
"Maiano, Giuliano da","Maiano, Benedetto da",0.2857142857142857,"[14, 13]","['20', '18']","['2', '2']"
"Romano, Paolo","Lotti, Lorenzetto (Lorenzo)",0.2857142857142857,[57],['72'],['4']
"Gozzoli, Benozzo","Forlï¿½, Melozzo da",0.2857142857142857,[124],['181'],['2']
"Viniziano, Domenico (Domenico da Venezia)","Messina, Antonello da",0.2857142857142857,[63],['88'],['2']
"San Gallo, Giuliano da","San Gallo, Antonio da (the elder)",0.2857142857142857,"[202, 198, 199]","['273', '262', '264']","['3', '3', '3']"
"Ammanati, Bartolommeo","Cellini, Benvenuto",0.2857142857142857,[100],['128'],['6']
"Nassaro, Matteo dal","Vicentino, Valerio (Valerio de' Belli)",0.2857142857142857,[82],['139'],['5']
"Siena, Pastorino da","Cellini, Benvenuto",0.2857142857142857,[87],['149'],['5']
