artist1,artist2,dice_coefficient,pages,paragraphs,volume
"Galassi, Galasso (Galasso Ferrarese)",Cristofano,1.0,[104],['112'],['1']
"Galassi, Galasso (Galasso Ferrarese)",Simone,1.0,[104],['112'],['1']
Cristofano,Simone,1.0,[104],['112'],['1']
"Ghiberti, Bonaccorso",Polycletus,1.0,[160],['181'],['1']
Agnolo (of Siena),Agostino (of Siena),0.75,"[98, 99, 100]","['225', '226', '227']","['0', '0', '0']"
"Memmi, Lippo","Memmi, Simone (Simone Martini, or Sanese)",0.6,"[173, 174, 172]","['337', '339', '334']","['0', '0', '0']"
"Bologhini, Bartolommeo","Laurati, Pietro (Pietro Lorenzetti)",0.5,[120],['260'],['0']
"Daddi, Bernardo","Casentino, Jacopo di",0.5,[25],['25'],['1']
Margaritone,"Tedesco, Jacopo (Lapo)",0.4,[65],['181'],['0']
"Tafi, Andrea","Como, Guido da",0.4,[48],['155'],['0']
"Gaddi, Agnolo","Gaddi, Giovanni",0.3333333333333333,[217],['406'],['0']
"Pisano, Giovanni","Pisano, Niccola",0.2857142857142857,"[36, 37]","['126', '127']","['0', '0']"
"Tafi, Andrea","Gaddi, Gaddo",0.2857142857142857,[56],['167'],['0']
"Pisano, Nino","Pisano, Andrea",0.2857142857142857,[131],['278'],['0']
"Quercia, Jacopo della (Jacopo della Fonte)",Matteo (of Lucca),0.2857142857142857,[97],['105'],['1']
"Buffalmacco, Buonamico","Giovanni, Bruno di",0.26666666666666666,"[148, 145]","['298', '293']","['0', '0']"
"Cimabue, Giovanni","Tafi, Andrea",0.26666666666666666,"[56, 50]","['167', '158']","['0', '0']"
"Pisano, Andrea","Pisano, Tommaso",0.25,[130],['275'],['0']
Giotto,"Cimabue, Giovanni",0.22727272727272727,"[8, 94, 72, 9, 50]","['81', '218', '189', '88', '158']","['0', '0', '0', '0', '0']"
"Robbia, Luca della","Robbia, Agostino della",0.2222222222222222,[125],['135'],['1']
"Aretino, Spinello","Daddi, Bernardo",0.2222222222222222,[25],['25'],['1']
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),0.21818181818181817,"[204, 241, 201, 203, 200, 243]","['231', '269', '228', '230', '227', '270']","['1', '1', '1', '1', '1', '1']"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.20408163265306123,"[86, 201, 217, 215, 214]","['91', '228', '242', '241', '240']","['1', '1', '1', '1', '1']"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Bartoluccio",0.2,"[144, 145]","['157', '159']","['1', '1']"
"Pisano, Giovanni",Agostino (of Siena),0.18181818181818182,[98],['225'],['0']
"Aretino, Spinello","Casentino, Jacopo di",0.18181818181818182,[25],['25'],['1']
"Pisano, Giovanni",Agnolo (of Siena),0.15384615384615385,[98],['225'],['0']
"Gaddi, Taddeo","Gaddi, Agnolo",0.15384615384615385,[218],['408'],['0']
Donato (Donatello),"Banco, Nanni d' Antonio di",0.15384615384615385,"[114, 115]","['121', '122']","['1', '1']"
"Cimabue, Giovanni","Gaddi, Gaddo",0.14285714285714285,[56],['167'],['0']
"Robbia, Luca della","Spinelli, Parri",0.14285714285714285,[175],['200'],['1']
"Uccello, Paolo",Masaccio,0.13333333333333333,[184],['209'],['1']
Donato (Donatello),"Uccello, Paolo",0.12121212121212122,"[140, 139]","['154', '152']","['1', '1']"
"Buffalmacco, Buonamico","Orcagna, Andrea di Cione",0.11764705882352941,[191],['371'],['0']
Giotto,"Tafi, Andrea",0.10810810810810811,"[51, 50]","['162', '158']","['0', '0']"
Stefano,Giotto,0.10526315789473684,"[111, 113]","['246', '251']","['0', '0']"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Panicale, Masolino da",0.10526315789473684,[171],['194'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Vittorio",0.10526315789473684,[162],['185'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Buonarroti, Michelagnolo",0.10526315789473684,[159],['179'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Bonaccorso",0.10526315789473684,[160],['181'],['1']
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",Polycletus,0.10526315789473684,[160],['181'],['1']
Giotto,"Pisano, Andrea",0.10256410256410256,"[126, 124]","['267', '266']","['0', '0']"
Giotto,"Gaddi, Taddeo",0.0975609756097561,"[186, 185]","['364', '361']","['0', '0']"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",Donato (Donatello),0.09523809523809523,"[147, 201]","['162', '228']","['1', '1']"
"Pisano, Andrea","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",0.08333333333333333,[154],['174'],['1']
Donato (Donatello),Simone (brother of Donatello),0.08,[251],['278'],['1']
Donato (Donatello),Michelozzo Michelozzi,0.06451612903225806,[260],['292'],['1']
"Robbia, Luca della",Donato (Donatello),0.0625,[121],['128'],['1']
Giotto,"Capanna, Puccio",0.058823529411764705,[91],['212'],['0']
Giotto,"Laurati, Pietro (Pietro Lorenzetti)",0.05714285714285714,[117],['257'],['0']
Giotto,"Cavallini, Pietro",0.05555555555555555,[162],['315'],['0']
Giotto,"Gaddi, Agnolo",0.05263157894736842,[222],['412'],['0']
