artist1,artist2,shared_count,pmi_score,page,paragraph,activity,start,end
Giotto,"Gaddi, Taddeo",1,2.584962500721156,23,12,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Aretino, Spinello","Daddi, Bernardo",1,2.584962500721156,25,15,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
