artist1,artist2,shared_count,pmi_score,page,paragraph,activity,start,end
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Panicale, Masolino da",1,3.584962500721156,171,152,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:26,2024-05-15T12:25:26
"Spinelli, Parri","Aretino, Spinello",1,0.2630344058337938,179,162,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:26,2024-05-15T12:25:26
