artist1,artist2,shared_count,pmi_score,page,paragraph,activity,start,end
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Pisano, Andrea",1,0.11103131238874364,147,124,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Pisano, Andrea",1,0.11103131238874364,154,136,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Buonarroti, Michelagnolo",1,0.11103131238874364,159,140,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Bonaccorso",1,0.11103131238874364,160,143,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Bonaccorso",1,0.11103131238874364,160,144,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",Polycletus,1,0.11103131238874364,160,143,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Vittorio",1,0.11103131238874364,162,147,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Bartoluccio",Donato (Donatello),1,3.7548875021634687,146,123,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Bartoluccio","Colle, Simone da (Simone de' Bronzi)",1,3.7548875021634687,146,123,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
Donato (Donatello),"Colle, Simone da (Simone de' Bronzi)",1,4.754887502163468,146,123,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
"Ghiberti, Bonaccorso",Polycletus,1,3.7548875021634687,160,143,pmi_activity_biography-level_2024-05-15,2024-05-15T12:25:25,2024-05-15T12:25:25
