artist1,artist2,shared_count,pmi_score,page,paragraph,activity,start,end
Agnolo (of Siena),Giotto,1,0.41503749927884376,99,131,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
Agostino (of Siena),Giotto,1,0.41503749927884376,99,131,pmi_activity_biography-level_2024-05-15,2024-05-15T11:58:51,2024-05-15T11:58:51
