"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","page_number","biography_slug","vol","level"
"viewsari:the_lives_1568_volume-2_spinello-aretino-bio_page_40","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Spinello Aretino, Page 40","viewsari:the_lives_1568_volume-2_spinello-aretino-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_spinello-aretino-bio_page_40","","40","spinello-aretino","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_spinello-aretino-bio_page_40","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Spinello Aretino, Page 40","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_spinello-aretino-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_40","40","spinello-aretino","2","manifestation"
"viewsari:the_lives_1568_volume-2_starnina-bio_page_41","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Gherardo Starnina, Page 41","viewsari:the_lives_1568_volume-2_starnina-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_41","","41","starnina","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_41","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Gherardo Starnina, Page 41","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_41","41","starnina","2","manifestation"
"viewsari:the_lives_1568_volume-2_starnina-bio_page_42","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Gherardo Starnina, Page 42","viewsari:the_lives_1568_volume-2_starnina-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_42","","42","starnina","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_42","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Gherardo Starnina, Page 42","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_42","42","starnina","2","manifestation"
"viewsari:the_lives_1568_volume-2_starnina-bio_page_43","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Gherardo Starnina, Page 43","viewsari:the_lives_1568_volume-2_starnina-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_43","","43","starnina","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_43","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Gherardo Starnina, Page 43","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_43","43","starnina","2","manifestation"
"viewsari:the_lives_1568_volume-2_starnina-bio_page_44","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Gherardo Starnina, Page 44","viewsari:the_lives_1568_volume-2_starnina-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_44","","44","starnina","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_44","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Gherardo Starnina, Page 44","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_44","44","starnina","2","manifestation"
"viewsari:the_lives_1568_volume-2_starnina-bio_page_45","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Gherardo Starnina, Page 45","viewsari:the_lives_1568_volume-2_starnina-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_45","","45","starnina","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_45","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Gherardo Starnina, Page 45","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_45","45","starnina","2","manifestation"
"viewsari:the_lives_1568_volume-2_starnina-bio_page_46","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Gherardo Starnina, Page 46","viewsari:the_lives_1568_volume-2_starnina-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_46","","46","starnina","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio_page_46","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Gherardo Starnina, Page 46","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_starnina-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_46","46","starnina","2","manifestation"
"viewsari:the_lives_1568_volume-2_lippo-bio_page_47","viewsari:page","fabio:Expression","The Lives, 1568, Vol. 2, Life of Lippo, Page 47","viewsari:the_lives_1568_volume-2_lippo-bio","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_47","","47","lippo","2","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio_page_47","viewsari:page web representation","fabio:WebPage","Gutenberg Web Version of Life of Lippo, Page 47","viewsari:the_lives_1568_gutenberg_web_version_of_volume-2_lippo-bio","","https://www.gutenberg.org/files/25759/25759-h/25759-h.htm#Page_47","47","lippo","2","manifestation"
