"instance_id","rdf:type","rdf_type_2","rdfs:label","frbr:is part of","frbr:has embodiment","rdfs:seeAlso","start_page","vol","level"
"viewsari:the_lives_1568_volume-4_peruzzi-bio","viewsari:biography","fabio:Expression","Life of Baldassarre Peruzzi","viewsari:the_lives_1568_volume-4","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_peruzzi-bio","","275","4","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_peruzzi-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Baldassarre Peruzzi (Volume 4)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4","","https://www.gutenberg.org/files/28420/28420-h/28420-h.htm#Page_275","275","4","manifestation"
"viewsari:the_lives_1568_volume-4_giovanfrancesco-penni-bio","viewsari:biography","fabio:Expression","Life of Giovanfrancesco Penni and Others","viewsari:the_lives_1568_volume-4","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_giovanfrancesco-penni-bio","","299","4","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_giovanfrancesco-penni-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Giovanfrancesco Penni and Others (Volume 4)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4","","https://www.gutenberg.org/files/28420/28420-h/28420-h.htm#Page_299","299","4","manifestation"
"viewsari:the_lives_1568_volume-4_andrea-del-sarto-bio","viewsari:biography","fabio:Expression","Life of Andrea del Sarto","viewsari:the_lives_1568_volume-4","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_andrea-del-sarto-bio","","307","4","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_andrea-del-sarto-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Andrea del Sarto (Volume 4)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4","","https://www.gutenberg.org/files/28420/28420-h/28420-h.htm#Page_307","307","4","manifestation"
"viewsari:the_lives_1568_volume-4_domenico-puligo-bio","viewsari:biography","fabio:Expression","Life of Domenico Puligo","viewsari:the_lives_1568_volume-4","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_domenico-puligo-bio","","379","4","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-4_domenico-puligo-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Domenico Puligo (Volume 4)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-4","","https://www.gutenberg.org/files/28420/28420-h/28420-h.htm#Page_379","379","4","manifestation"
"viewsari:the_lives_1568_volume-5_andrea-da-fiesole-bio","viewsari:biography","fabio:Expression","Life of Andrea da Fiesole and Others","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_andrea-da-fiesole-bio","","1","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_andrea-da-fiesole-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Andrea da Fiesole and Others (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_1","1","5","manifestation"
"viewsari:the_lives_1568_volume-5_vincenzio-timoteo-bio","viewsari:biography","fabio:Expression","Life of Vincenzio da San Gimignano and Timoteo da Urbino","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_vincenzio-timoteo-bio","","7","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_vincenzio-timoteo-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Vincenzio da San Gimignano and Timoteo da Urbino (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_7","7","5","manifestation"
"viewsari:the_lives_1568_volume-5_valerio-vicentino-bio","viewsari:biography","fabio:Expression","Life of Valerio Vicentino and Others","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_valerio-vicentino-bio","","23","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_valerio-vicentino-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Valerio Vicentino and Others (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_23","23","5","manifestation"
"viewsari:the_lives_1568_volume-5_marcantonio-bolognese-bio","viewsari:biography","fabio:Expression","Life of Marc Antonio Bolognese and Others","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_marcantonio-bolognese-bio","","39","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_marcantonio-bolognese-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Marc Antonio Bolognese and Others (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_39","39","5","manifestation"
"viewsari:the_lives_1568_volume-5_antonio-san-gallo-elder-bio","viewsari:biography","fabio:Expression","Life of Antonio da San Gallo the Elder","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_antonio-san-gallo-elder-bio","","55","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_antonio-san-gallo-elder-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Antonio da San Gallo the Elder (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_55","55","5","manifestation"
"viewsari:the_lives_1568_volume-5_giulio-romano-bio","viewsari:biography","fabio:Expression","Life of Giulio Romano","viewsari:the_lives_1568_volume-5","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_giulio-romano-bio","","63","5","expression"
"viewsari:the_lives_1568_gutenberg_web_version_of_volume-5_giulio-romano-bio","viewsari:biography web representation","fabio:WebPage","Gutenberg Web Version of Life of Giulio Romano (Volume 5)","viewsari:the_lives_1568_gutenberg_web_version_of_volume-5","","https://www.gutenberg.org/files/28421/28421-h/28421-h.htm#Page_63","63","5","manifestation"
