,0
62,"Bellini, Jacopo"
63,"Aretino, Spinello"
64,"Robbia, Luca della"
65,"Cosimo, Andrea di (Andrea di Cosimo Feltrini)"
66,Visino
67,"Albertinelli, Mariotto"
68,"Nola, Giovanni da"
69,"Libri, Francesco dai (the younger)"
70,"Vasari, Giorgio"
71,Masaccio
72,"Maiano, Benedetto da"
73,"Cosimo, Piero di"
74,"Primaticcio, Francesco, Description of Works"
75,"Messina, Antonello da"
76,"Dï¿½rer, Albrecht"
77,"Francesco, Mariotto di"
78,"Montelupo, Raffaello da"
79,"Unghero, Nanni"
80,"Bellini, Giovanni"
81,"Peruzzi, Baldassarre (Baldassarre da Siena)"
82,"Castagno, Andrea dal (Andrea degli Impiccati)"
83,"Gaddi, Gaddo"
84,"Verrocchio, Andrea"
85,"Anguisciuola, Sofonisba"
86,"Siena, Pastorino da"
87,"Cellini, Benvenuto"
88,"Barozzi, Jacopo (Vignuola)"
89,"Giovanni, Bruno di"
90,"Francesca, Piero della (Piero Borghese, or Piero dal Borgo a San Sepolcro)"
91,"Mazzuoli, Francesco (Parmigiano)"
92,"Garofalo, Benvenuto (Benvenuto Tisi)"
93,"Urbino, Timoteo da (Timoteo della Vite)"
94,"Beccafumi, Domenico (Domenico di Pace)"
95,"Ghiberti, Bartoluccio"
96,"Ghirlandajo, Ridolfo"
97,Vitruvius
98,Liberale
99,"San Michele, Matteo"
100,"San Michele, Michele"
101,"Ricciarelli, Daniello (Daniello da Volterra)"
102,"Ghirlandajo, Domenico"
103,"Pecori, Domenico"
104,"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)"
105,"San Gallo, Giuliano da"
106,"Bronzino, Agnolo"
107,"Luigi, Andrea (L' Ingegno)"
108,"Cavazzuola, Paolo (Paolo Morando)"
109,"San Marco, Fra Bartolommeo di (Baccio della Porta)"
110,"Cimabue, Giovanni"
111,"Gherardi, Cristofano (Doceno)"
112,"San Gallo, Antonio da (the younger)"
113,"Pisano, Niccola"
114,"Pisano, Giovanni"
115,"Rosselli, Cosimo"
116,"Urbino, Bramante da"
117,"Carpi, Girolamo da (Girolamo da Ferrara)"
118,"Conti, Domenico"
119,"Salviati, Francesco (Francesco de' Rossi)"
120,"Costa, Lorenzo"
121,"Lippi, Filippo (Filippino)"
122,Torrigiano
123,"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)"
124,"Sansovino, Jacopo (Jacopo Tatti)"
125,"Vinci, Leonardo da"
126,"Trento, Antonio da (Antonio Fantuzzi)"
127,Donato (Donatello)
128,"Cronaca, Il (Simone del Pollaiuolo)"
129,"Lappoli, Giovanni Antonio"
130,"Castelfranco, Giorgione da"
131,"Ammanati, Bartolommeo"
132,Giotto
133,"Brunelleschi, Filippo (Filippo di Ser Brunellesco)"
134,"Romano, Giulio (Giulio Pippi de' Giannuzzi)"
135,"Vaga, Perino del (Perino Buonaccorsi, or de' Ceri)"
136,"Gaddi, Taddeo"
137,"Sarto, Andrea del (Andrea d' Agnolo)"
138,"Viniziano, Antonio"
139,"Vinci, Pierino (Piero) da"
140,"Rosso, Il (Giovan Battista de' Rossi)"
141,Tribolo (Niccolï¿½)
142,"Genga, Girolamo"
