id,first_name,middle_name,surname,full_name,alias,pages
"Agnolo, Baccio d' (Baccio Baglioni)",Baccio,d',Agnolo,Baccio d' Agnolo,Baccio Baglioni,12
"Alberti, Leon Batista",Leon,Batista,Alberti,Leon Batista Alberti,,43 44 45 46 47 48
"Angelico, Fra (Fra Giovanni da Fiesole)",Angelico,,,Fra Angelico,Fra Giovanni da Fiesole,121 27 28 29 30 31 32 33 34 35 36 37 38 39
"Angelo, Lorentino d'",Lorentino,d',Angelo,Lorentino d' Angelo,,22 23
Apelles,Apelles,,,Apelles,,254 286 36
"Aretino, Geri",Geri,,Aretino,Geri Aretino,,263 264
Attavante (or Vante),Attavante,,,Attavante,Vante,209 214 215 36 37 38 39
"Baldinelli, Baldino",Baldino,,Baldinelli,Baldino Baldinelli,,233
"Baldovinetti, Alesso",Alesso,,Baldovinetti,Alesso Baldovinetti,,101 225 59 67 68 69 70
"Banco, Nanni d' Antonio di",Nanni,d' Antonio,di Banco,Nanni d' Antonio di Banco,,28
"Bellini, Gentile",Gentile,,Bellini,Gentile Bellini,,173 174 175 176 177 178 179 180 181 182 183 184 280
"Bellini, Giovanni",Giovanni,,Bellini,Giovanni Bellini,,173 174 175 176 177 178 179 180 181 182 183 184 280 286
"Bellini, Jacopo",Jacopo,,Bellini,Jacopo Bellini,,173 174 175 280
Biagio (pupil of Botticelli),Biagio,,,Biagio,"pupil of Botticelli, Jacopo, pupil of Sandro Botticelli",251 252
"Bicci, Lorenzo di",Lorenzo,,di Bicci,Lorenzo di Bicci,,20 213
Boccardino (the elder),Boccardino,,,Boccardino,the elder,215
"Bolognese, Guido",Guido,,Bolognese,Guido Bolognese,,170
"Bonsignori (Monsignori), Francesco",Francesco,,Bonsignori,Francesco Bonsignori,Monsignori,63
"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",Sandro,,Botticelli,Sandro Botticelli,"Sandro di Botticello, Alessandro Filipepi",188 222 247 248 249 250 251 252 253 254 86 87
Botticello,Botticello,,,Botticello,,247
Bramantino (Bartolommeo Suardi),Bramantino,,,Bramantino,Bartolommeo Suardi,18 19
"Bresciano, Vincenzio (Vincenzio di Zoppa, or Foppa)",Vincenzio,,Bresciano,Vincenzio Bresciano,"Vincenzio di Zoppa, Foppa",5
"Brini, Francesco",Francesco,,Brini,Francesco Brini,,214
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Filippo,,Brunelleschi,Filippo Brunelleschi,Filippo di Ser Brunellesco,12 130 196 257 271 3
"Buglioni, Benedetto",Benedetto,,Buglioni,Benedetto Buglioni,,276
"Buglioni, Santi",Santi,,Buglioni,Santi Buglioni,,276
"Buonarroti, Michelagnolo",Michelagnolo,,Buonarroti,Michelagnolo Buonarroti,,110 140 233 86
Callicrates,Callicrates,,,Callicrates,,55
"Camicia, Chimenti",Chimenti,,Camicia,Chimenti Camicia,,92 93
"Campagnola, Girolamo",Girolamo,,Campagnola,Girolamo Campagnola,,279
Capanna (of Siena),Capanna,,,Capanna,Capanna of Siena,208
"Castagno, Andrea dal (Andrea degli Impiccati)",Andrea,,dal Castagno,Andrea dal Castagno,Andrea degli Impiccati,100 101 102 103 104 105 109 117 173 237 239 283 97 98 99
Cecca,Cecca,,,Cecca,,193 194 195 196 197 198 199 200 69
"Cecca, Girolamo della",Girolamo,,della Cecca,Girolamo della Cecca,,263
"Cellini, Baccio",Baccio,,Cellini,Baccio Cellini,,263 92
"Cervelliera, Battista del",Battista,del,Cervelliera,Battista del Cervelliera,,12
"Cieco, Niccolï¿½",Niccolï¿½,,Cieco,Niccolï¿½ Cieco,,233
