id,first_name,middle_name,surname,full_name,alias,pages
"Agnolo, Baccio d' (Baccio Baglioni)",Baccio,d',Agnolo,Baccio d' Agnolo,Baccio Baglioni,101 204 267 270
"Albertinelli, Biagio di Bindo",Biagio,,di Bindo Albertinelli,Biagio di Bindo Albertinelli,,165
"Albertinelli, Mariotto",Mariotto,,Albertinelli,Mariotto Albertinelli,,151 154 165 166 167 168 169 170 171
"Alunno, Niccolï¿½",Niccolï¿½,,Alunno,Niccolï¿½ Alunno,,18 19
"Ammanati, Bartolommeo",Bartolommeo,,Ammanati,Bartolommeo Ammanati,,274
"Angelico, Fra (Fra Giovanni da Fiesole)",Angelico,,,Fra Angelico,Fra Giovanni da Fiesole,154 185 73
"Angelo, Battista d' (Battista d' Agnolo, or del Moro)",Battista,d',Angelo,Battista d' Angelo,"Battista d' Agnolo, del Moro",61
Antonio (Antoniasso),Antonio,,,Antonio,Antoniasso,6 7
Apelles,Apelles,,,Apelles,,105 82 83
"Aretino, Niccolï¿½ (Niccolï¿½ d' Arezzo, or Niccolï¿½ di Piero Lamberti)",Niccolï¿½,,Aretino,Niccolï¿½ Aretino,"Niccolï¿½ d' Arezzo, Niccolï¿½ di Piero Lamberti",55
"Avanzi, Jacopo (Jacopo Davanzo)",Jacopo,,Avanzi,Jacopo Avanzi,Jacopo Davanzo,51 55
"Bagnacavallo, Bartolommeo da (Bartolommeo Ramenghi)",Bartolommeo,,da Bagnacavallo,Bartolommeo da Bagnacavallo,Bartolommeo Ramenghi,237
"Baldovinetti, Alesso",Alesso,,Baldovinetti,Alesso Baldovinetti,,82
"Bandinelli, Baccio (Baccio de' Brandini)",Baccio,,Bandinelli,Baccio Bandinelli,Baccio de' Brandini,204 274
"Barile, Gian (Giovan)",Gian,,Barile,Gian Barile,Giovan,238
"Bartolommeo, Fra (Fra Carnovale da Urbino)",Bartolommeo,,,Fra Bartolommeo,Fra Carnovale da Urbino,138
"Basaiti, Marco (Il Bassiti, or Marco Basarini)",Marco,,Basaiti,Marco Basaiti,"Il Bassiti, Marco Basarini",52 58
"Bastiani, Lazzaro (Lazzaro Scarpaccia, or Sebastiano Scarpaccia)",Lazzaro,,Bastiani,Lazzaro Bastiani,"Lazzaro Scarpaccia, Sebastiano Scarpaccia",52 57 58
Baviera,Baviera,,,Baviera,,232 233
"Bazzi, Giovanni Antonio (Il Sodoma)",Giovanni,Antonio,Bazzi,Giovanni Antonio Bazzi,Il Sodoma,218 72
"Beceri, Domenico (Domenico Benci)",Domenico,,Beceri,Domenico Beceri,Domenico Benci,283
"Bellini, Gentile",Gentile,,Bellini,Gentile Bellini,,109 57 59
"Bellini, Giovanni",Giovanni,,Bellini,Giovanni Bellini,,109 57 58 82
"Bellini, Vittore (Belliniano)",Vittore,,Bellini,Vittore Bellini,Belliniano,52 59 60
"Bernardi, Giovanni (Giovanni da Castel Bolognese)",Giovanni,,Bernardi,Giovanni Bernardi,Giovanni da Castel Bolognese,111
Bertoldo,Bertoldo,,,Bertoldo,,185
"Bianco, Simon",Simon,,Bianco,Simon Bianco,,60
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)",Marc',Antonio,Bolognese,Marc' Antonio Bolognese,"Marc' Antonio Raimondi, de' Franci",232 233
"Boltraffio, Giovanni Antonio",Giovanni,Antonio,Boltraffio,Giovanni Antonio Boltraffio,,105
"Bonsignori (Monsignori), Francesco",Francesco,,Bonsignori,Francesco Bonsignori,Monsignori,60
"Borro, Battista",Battista,,Borro,Battista Borro,,262
"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",Sandro,,Botticelli,Sandro Botticelli,"Sandro di Botticello, Alessandro Filipepi",3 4 82
