id,first_name,middle_name,surname,full_name,alias,pages
Agnolo (of Siena),Agnolo,,,Agnolo,Agnolo of Siena,81 94 95
Agostino (of Siena),Agostino,,,Agostino,Agostino of Siena,81 94 95
"Alberti, Leon Batista",Leon,Batista,Alberti,Leon Batista Alberti,,227
"Albertinelli, Mariotto",Mariotto,,Albertinelli,Mariotto Albertinelli,,190
"Ammanati, Bartolommeo",Bartolommeo,,Ammanati,Bartolommeo Ammanati,,228
"Angelico, Fra (Fra Giovanni da Fiesole)",Angelico,,,Fra Angelico,Fra Giovanni da Fiesole,190 271
"Antignano, Segna d'",Segna,d',Antignano,Segna d' Antignano,,26
"Arca, Niccolï¿½ dell' (Niccolï¿½ Bolognese)",Niccolï¿½,dell',Arca,Niccolï¿½ dell' Arca,Niccolï¿½ Bolognese,97
"Aretino, Niccolï¿½ (Niccolï¿½ d' Arezzo, or Niccolï¿½ di Piero Lamberti)",Niccolï¿½,,Aretino,Niccolï¿½ Aretino,"Niccolï¿½ d' Arezzo, Niccolï¿½ di Piero Lamberti",101 102 103 104 145 146 159 200
"Aretino, Spinello",Spinello,,Aretino,Spinello Aretino,,179 25 26 29 30 31 32 33 34 35 36 37 38 39 67 83
"Asciano, Giovanni da",Giovanni,,da Asciano,Giovanni da Asciano,,5
"Avanzi, Jacopo (Jacopo Davanzo)",Jacopo,,Avanzi,Jacopo Avanzi,Jacopo Davanzo,104
"Baldovinetti, Alesso",Alesso,,Baldovinetti,Alesso Baldovinetti,,190
"Banco, Nanni d' Antonio di",Nanni,d' Antonio,di Banco,Nanni d' Antonio di Banco,,113 114 115 253
"Bandinelli, Baccio (Baccio de' Brandini)",Baccio,,Bandinelli,Baccio Bandinelli,Baccio de' Brandini,127 190
"Bartoli, Domenico",Domenico,,Bartoli,Domenico Bartoli,,63 64
"Bartoli, Taddeo",Taddeo,,Bartoli,Taddeo Bartoli,,61 62 63 64
"Beccafumi, Domenico (Domenico di Pace)",Domenico,,Beccafumi,Domenico Beccafumi,Domenico di Pace,96
Berna,Berna,,,Berna,,3 4 5
Bertoldo,Bertoldo,,,Bertoldo,,249 253 254
"Bicci, Lorenzo di",Lorenzo,,di Bicci,Lorenzo di Bicci,,67 68 69 70 71 72 73
"Bologna, Galante da",Galante,,da Bologna,Galante da Bologna,,51
