id,first_name,middle_name,surname,full_name,alias,pages
"Academicians, The",The,,Academicians,The Academicians,,100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
"Agnolo, Baccio d' (Baccio Baglioni)",Baccio,d',Agnolo,Baccio d' Agnolo,Baccio Baglioni,23
"Alberti, Leon Batista",Leon,Batista,Alberti,Leon Batista Alberti,,40
"Allori, Alessandro (Alessandro del Bronzino)",Alessandro,,Allori,Alessandro Allori,Alessandro del Bronzino,12 13
"Altissimo, Cristofano dell'",Cristofano,dell',Altissimo,Cristofano dell' Altissimo,,13 14
"Ammanati, Bartolommeo",Bartolommeo,,Ammanati,Bartolommeo Ammanati,,206 23
Apelles,Apelles,,,Apelles,,200 47
"Bagnacavallo, Giovan Battista da",Giovan,Battista,da Bagnacavallo,Giovan Battista da Bagnacavallo,", Giovan Paolo dal Borgo",196
"Bandinelli, Baccio (Baccio de' Brandini)",Baccio,,Bandinelli,Baccio Bandinelli,Baccio de' Brandini,176 210 214 23 24 31
"Bandini, Giovanni di Benedetto (Giovanni dell' Opera)",Giovanni,,di Benedetto Bandini,Giovanni di Benedetto Bandini,Giovanni dell' Opera,31 32
"Barozzi, Jacopo (Vignuola)",Jacopo,,Barozzi,Jacopo Barozzi,Vignuola,206
"Beceri, Domenico (Domenico Benci)",Domenico,,Beceri,Domenico Beceri,Domenico Benci,20
Bizzerra,Bizzerra,,,Bizzerra,,196
"Bologna, Giovan",Giovan,,Bologna,Giovan Bologna,,25 26
"Bolognese, Biagio (Biagio Pupini)",Biagio,,Bolognese,Biagio Bolognese,Biagio Pupini,184
"Bronzino, Agnolo",Agnolo,,Bronzino,Agnolo Bronzino,,10 11 12 13 14 219 3 4 5 6 7 8 9
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Filippo,,Brunelleschi,Filippo Brunelleschi,Filippo di Ser Brunellesco,204 47
"Buffalmacco, Buonamico",Buonamico,,Buffalmacco,Buonamico Buffalmacco,,47
"Buonarroti, Michelagnolo",Michelagnolo,,Buonarroti,Michelagnolo Buonarroti,,12 13 14 15 16 17 172 174 175 186 187 188 189 19 190 194 206 215 220 222 24 26 31 32 46 47
"Buontalenti, Bernardo Timante",Bernardo,Timante,Buontalenti,Bernardo Timante Buontalenti,,16 17 18
"Butteri, Giovan Maria",Giovan,Maria,Butteri,Giovan Maria Butteri,,13
"Calamech, Andrea",Andrea,,Calamech,Andrea Calamech,,23
"Caliari, Paolo (Paolo Veronese)",Paolo,,Caliari,Paolo Caliari,Paolo Veronese,20
"Camilliani, Francesco",Francesco,,Camilliani,Francesco Camilliani,,24 25
"Caravaggio, Polidoro da (Polidoro Caldara)",Polidoro,,da Caravaggio,Polidoro da Caravaggio,Polidoro Caldara,174
"Cattaneo, Danese (Danese da Carrara)",Danese,,Cattaneo,Danese Cattaneo,Danese da Carrara,20
"Cellini, Benvenuto",Benvenuto,,Cellini,Benvenuto Cellini,,21 22
"Cimabue, Giovanni",Giovanni,,Cimabue,Giovanni Cimabue,,196 3 47
"Cioli, Valerio",Valerio,,Cioli,Valerio Cioli,,32
"Clovio, Don Giulio",Giulio,,Clovio,Don Giulio Clovio,,16
"Colle, Raffaello dal (Raffaello dal Borgo)",Raffaello,,dal Colle,Raffaello dal Colle,Raffaello dal Borgo,7
"Collettaio, Ottaviano del",Ottaviano,del,Collettaio,Ottaviano del Collettaio,,33
"Correggio, Antonio da",Antonio,,da Correggio,Antonio da Correggio,,187
"Cungi, Battista",Battista,,Cungi,Battista Cungi,,181 187
"Danti, Fra Ignazio",Ignazio,,Danti,Fra Ignazio Danti,,28 29 30
"Danti, Vincenzio",Vincenzio,,Danti,Vincenzio Danti,,26 27 28
Donato (Donatello),Donato,,,Donato,Donatello,22 47
"Fancelli, Giovanni (Giovanni di Stocco)",Giovanni,,Fancelli,Giovanni Fancelli,Giovanni di Stocco,33
"Farinato, Battista (Battista da Verona)",Battista,,Farinato,Battista Farinato,Battista da Verona,20
