id,first_name,middle_name,surname,full_name,alias,pages
"Abate, Niccolï¿½ dell' (Niccolï¿½ da Modena)",Niccolï¿½,dell',Abate,Niccolï¿½ dell' Abate,Niccolï¿½ da Modena,148
"Aertsen, Pieter",Pieter,,Aertsen,Pieter Aertsen,,268
"Agnolo, Baccio d' (Baccio Baglioni)",Baccio,d',Agnolo,Baccio d' Agnolo,Baccio Baglioni,194 40 41
"Aimo, Domenico (Vecchio of Bologna)",Domenico,,Aimo,Domenico Aimo,Vecchio of Bologna,189
"Alberti, Leon Batista",Leon,Batista,Alberti,Leon Batista Alberti,,271
"Alessi, Galeazzo",Galeazzo,,Alessi,Galeazzo Alessi,,239 240 241 242
"Allori, Alessandro (Alessandro del Bronzino)",Alessandro,,Allori,Alessandro Allori,Alessandro del Bronzino,133 138
"Ammanati, Bartolommeo",Bartolommeo,,Ammanati,Bartolommeo Ammanati,,118 125 126 129 207 208 223 69 70 73
"Antwerp, Hugo of",Hugo of,,Antwerp,Hugo of Antwerp,,265
"Antwerp, Willem van",Willem,van,Antwerp,Willem van Antwerp,,269
Apelles,Apelles,,,Apelles,,133 168
"Arca, Niccolï¿½ dell' (Niccolï¿½ Bolognese)",Niccolï¿½,dell',Arca,Niccolï¿½ dell' Arca,Niccolï¿½ Bolognese,11
"Aretino, Leone (Leone Lioni)",Leone,,Aretino,Leone Aretino,Leone Lioni,229 230 231 232 233 95
"Bagnacavallo, Bartolommeo da (Bartolommeo Ramenghi)",Bartolommeo,,da Bagnacavallo,Bartolommeo da Bagnacavallo,Bartolommeo Ramenghi,147
"Bagnacavallo, Giovan Battista da",Giovan,Battista,da Bagnacavallo,Giovan Battista da Bagnacavallo,,147 148
"Baldovinetti, Alesso",Alesso,,Baldovinetti,Alesso Baldovinetti,,182
"Bandinelli, Baccio (Baccio de' Brandini)",Baccio,,Bandinelli,Baccio Bandinelli,Baccio de' Brandini,126 190 20 49
"Bandini, Giovanni di Benedetto (Giovanni dell' Opera)",Giovanni,,di Benedetto Bandini,Giovanni di Benedetto Bandini,Giovanni dell' Opera,126 130 140 141
"Barbiere, Domenico del",Domenico,del,Barbiere,Domenico del Barbiere,,149
"Barozzi, Jacopo (Vignuola)",Jacopo,,Barozzi,Jacopo Barozzi,Vignuola,102 146 147
"Bassano, Jacopo da",Jacopo,,da Bassano,Jacopo da Bassano,,175 176
"Begarelli, Antonio (Il Modena)",Antonio,,Begarelli,Antonio Begarelli,Il Modena,113
"Bellegambe, Jean",Jean,,Bellegambe,Jean Bellegambe,,266
"Bellini, Giovanni",Giovanni,,Bellini,Giovanni Bellini,,159 160 162 163
"Bening, Levina",Levina,,Bening,Levina Bening,,269
"Bening, Simon",Simon,,Bening,Simon Bening,,268
Bernard of Brussels,Bernard of Brussels,,,Bernard of Brussels,,266
"Bernardi, Giovanni (Giovanni da Castel Bolognese)",Giovanni,,Bernardi,Giovanni Bernardi,Giovanni da Castel Bolognese,164
Bertoldo,Bertoldo,,,Bertoldo,,8
"Bigio, Nanni di Baccio (Giovanni di Baccio)",Nanni,,di Baccio Bigio,Nanni di Baccio Bigio,Giovanni di Baccio,100 101 113 239 69 76
"Blondeel, Lancelot",Lancelot,,Blondeel,Lancelot Blondeel,,267
"Bol, Hans",Hans,,Bol,Hans Bol,,268
"Bologna, Giovan",Giovan,,Bologna,Giovan Bologna,,267 269
"Bologna, Ruggieri da",Ruggieri,,da Bologna,Ruggieri da Bologna,,147
Bonifazio (of Venice),Bonifazio,,,Bonifazio,Bonifazio of Venice,214
"Bordone, Paris",Paris,,Bordone,Paris Bordone,,178 179 180 181 182
Borghese (of Antwerp),Borghese,,,Borghese,Borghese of Antwerp,269
"Bosch, Hieronymus",Hieronymus,,Bosch,Hieronymus Bosch,,267
"Boscoli, Giovanni",Giovanni,,Boscoli,Giovanni Boscoli,,156
"Boscoli, Maso (Maso dal Bosco)",Maso,,Boscoli,Maso Boscoli,Maso dal Bosco,55
"Bozza, Girolamo (Bartolommeo Bozzato)",Girolamo,,Bozza,Girolamo Bozza,"Bartolommeo Bozzato, Girolamo Dante, Girolamo di Tiziano",183
Bramantino (Bartolommeo Suardi),Bramantino,,,Bramantino,Bartolommeo Suardi,190
"Bresciano, Jacopo (Jacopo de' Medici)",Jacopo,,Bresciano,Jacopo Bresciano,Jacopo de' Medici,206 207 223
"Breuck, Jakob",Jakob,,Breuck,Jakob Breuck,,269
"Bronzino, Agnolo",Agnolo,,Bronzino,Agnolo Bronzino,,118 125 128 133 137 252
"Brueghel, Pieter",Pieter,,Brueghel,Pieter Brueghel,,267 268
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Filippo,,Brunelleschi,Filippo Brunelleschi,Filippo di Ser Brunellesco,133 43 44
"Bugiardini, Giuliano",Giuliano,,Bugiardini,Giuliano Bugiardini,,29 30 95
"Buglioni, Santi",Santi,,Buglioni,Santi Buglioni,,132
"Buonarroti, Michelagnolo",Michelagnolo,,Buonarroti,Michelagnolo Buonarroti,,10 100 101 102 103 104 105 106 107 108 109 11 110 111 112 113 114 115 116 117 118 119 12 120 121 122 123 124 125 126 127 128 129 13 130 131 132 133 134 135 136 137 138 139 14 140 141 145 15 153 16 162 17 170 171 18 187 19 193 194 195 20 21 215 216 22 224 23 231 235 236 239 24 246 25 250 251 259 26 27 28 29 3 30 31 32 33 34 35 36 37 38 39 4 40 41 42 43 44 45 46 47 48 49 5 50 51 52 53 54 55 56 57 58 59 6 60 61 62 63 64 65 66 67 68 69 7 70 71 72 73 74 75 76 77 78 79 8 80 81 82 83 84 85 86 87 88 89 9 90 91 92 93 94 95 96 97 98 99
"Buontalenti, Bernardo Timante",Bernardo,Timante,Buontalenti,Bernardo Timante Buontalenti,,135 136 137
"Butteri, Giovan Maria",Giovan,Maria,Butteri,Giovan Maria Butteri,,131
"Calamech, Andrea",Andrea,,Calamech,Andrea Calamech,,129
"Calamech, Lazzaro",Lazzaro,,Calamech,Lazzaro Calamech,,129
"Calcagni, Tiberio",Tiberio,,Calcagni,Tiberio Calcagni,,100 83 84 98 99
"Calcar, Johann of (Jan Stephanus van Calcker, or Giovanni Fiammingo)",Johann of,,Calcar,Johann of Calcar,"Jan Stephanus van Calcker, Giovanni Fiammingo",178 266
"Capocaccia, Mario",Mario,,Capocaccia,Mario Capocaccia,,233
"Caravaggio, Polidoro da (Polidoro Caldara)",Polidoro,,da Caravaggio,Polidoro da Caravaggio,Polidoro Caldara,170
"Carota, Il (Antonio di Marco di Giano)",Il,,Carota,Il Carota,Antonio di Marco di Giano,51
"Carpaccio (Scarpaccia), Vittore",Vittore,,Carpaccio,Vittore Carpaccio,Scarpaccia,210 211
"Casignuola, Jacopo",Jacopo,,Casignuola,Jacopo Casignuola,", Tommaso Casignuola",238
"Castelfranco, Giorgione da",Giorgione,,da Castelfranco,Giorgione da Castelfranco,,159 160 161 162 165 179
"Cattaneo, Danese (Danese da Carrara)",Danese,,Cattaneo,Danese Cattaneo,Danese da Carrara,176 204 208 209 210 214 223
"Cellini, Benvenuto",Benvenuto,,Cellini,Benvenuto Cellini,,118 125 51
"Cesariano, Cesare",Cesare,,Cesariano,Cesare Cesariano,,190
"Christus, Pieter",Pieter,,Christus,Pieter Christus,,265
Ciappino,Ciappino,,,Ciappino,,51
"Ciciliano, Jacopo",Jacopo,,Ciciliano,Jacopo Ciciliano,,98
"Cimabue, Giovanni",Giovanni,,Cimabue,Giovanni Cimabue,,133
"Cinque, Battista del",Battista,del,Cinque,Battista del Cinque,", Battista del Tasso",51
"Cioli, Valerio",Valerio,,Cioli,Valerio Cioli,,129 140 141
"Cleef, Joost van",Joost,van,Cleef,Joost van Cleef,,266
"Clovio, Don Giulio",Giulio,,Clovio,Don Giulio Clovio,,245 246 247 248 249 250 251 252 253
"Cock, Hieronymus",Hieronymus,,Cock,Hieronymus Cock,,266
"Cock, Matthys",Matthys,,Cock,Matthys Cock,,266
"Colonna, Jacopo",Jacopo,,Colonna,Jacopo Colonna,,202 203 223
"Condivi, Ascanio (Ascanio dalla Ripa Transone)",Ascanio,,Condivi,Ascanio Condivi,Ascanio dalla Ripa Transone,107 5
"Conte, Jacopo del",Jacopo,del,Conte,Jacopo del Conte,,152 258 260 261 95
"Contucci, Andrea (Andrea Sansovino)",Andrea,,Contucci,Andrea Contucci,Andrea Sansovino,15 187 202 216 40 41
"Cornelis, Jan",Jan,,Cornelis,Jan Cornelis,,266
"Coxie, Michael (Michele)",Michael,,Coxie,Michael Coxie,Michele,266 267 268
"Crabeth, Wouter",Wouter,,Crabeth,Wouter Crabeth,,269
"Credi, Lorenzo di",Lorenzo,,di Credi,Lorenzo di Credi,,190
"Dalen, Jan van",Jan,van,Dalen,Jan van Dalen,", Jan der Sart",269
"Danti, Vincenzio",Vincenzio,,Danti,Vincenzio Danti,,128 139
"Delft, Simon van",Simon,van,Delft,Simon van Delft,,269
"Dinant, Hendrik of",Hendrik of,,Dinant,Hendrik of Dinant,,266
Donato (Donatello),Donato,,,Donato,Donatello,10 111 133 138 169 8
"Doni, Adone",Adone,,,Don Adone,,261
"Donnino, Agnolo di",Agnolo,,di ino,Don Agnolo di ino,,29 30
"Dossi, Dosso",Dosso,,Dossi,Dosso Dossi,,163
