"instance_id","rdf:type","rdfs:label","viewsari:involves","viewsari:involves_2","prov:wasGeneratedBy"
"viewsari:cooccurrence_ban-ros_1","viewsari:cooccurrence","Co-occurrence of Bandinelli, Baccio (Baccio de' Brandini) and Rosso, Il (Giovan Battista de' Rossi), Vol. 6, Para. 191","viewsari:bandinelli-baccio-baccio-de-brandini","viewsari:rosso-il-giovan-battista-de-rossi","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_ros-vic_1","viewsari:cooccurrence","Co-occurrence of Rosso, Il (Giovan Battista de' Rossi) and Vico, Enea, Vol. 6, Para. 191","viewsari:rosso-il-giovan-battista-de-rossi","viewsari:vico-enea","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_ban-buo_1","viewsari:cooccurrence","Co-occurrence of Bandinelli, Baccio (Baccio de' Brandini) and Buonarroti, Michelagnolo, Vol. 6, Para. 191","viewsari:bandinelli-baccio-baccio-de-brandini","viewsari:buonarroti-michelagnolo","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_buo-vic_1","viewsari:cooccurrence","Co-occurrence of Buonarroti, Michelagnolo and Vico, Enea, Vol. 6, Para. 191","viewsari:buonarroti-michelagnolo","viewsari:vico-enea","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_ban-vic_1","viewsari:cooccurrence","Co-occurrence of Bandinelli, Baccio (Baccio de' Brandini) and Vico, Enea, Vol. 6, Para. 191","viewsari:bandinelli-baccio-baccio-de-brandini","viewsari:vico-enea","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_buo-cav_1","viewsari:cooccurrence","Co-occurrence of Buonarroti, Michelagnolo and Cavalieri, Giovan Battista de', Vol. 6, Para. 194","viewsari:buonarroti-michelagnolo","viewsari:cavalieri-giovan-battista-de","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_coc-hee_1","viewsari:cooccurrence","Co-occurrence of Cock, Hieronymus and Heemskerk, Martin, Vol. 6, Para. 200","viewsari:cock-hieronymus","viewsari:heemskerk-martin","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bos-bro_1","viewsari:cooccurrence","Co-occurrence of Bosch, Hieronymus and Bronzino, Agnolo, Vol. 6, Para. 203","viewsari:bosch-hieronymus","viewsari:bronzino-agnolo","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bol-san_2","viewsari:cooccurrence","Co-occurrence of Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci) and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 205","viewsari:bolognese-marc-antonio-marc-antonio-raimondi-or-de-franci","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-san_1","viewsari:cooccurrence","Co-occurrence of San Gallo, Antonio da (the younger) and San Gallo, Giuliano da, Vol. 6, Para. 208","viewsari:san-gallo-antonio-da-the-younger","viewsari:san-gallo-giuliano-da","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-urb_1","viewsari:cooccurrence","Co-occurrence of San Gallo, Antonio da (the younger) and Urbino, Bramante da, Vol. 6, Para. 208","viewsari:san-gallo-antonio-da-the-younger","viewsari:urbino-bramante-da","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_gio-mar_1","viewsari:cooccurrence","Co-occurrence of Giocondo, Fra and Marchissi, Antonio di Giorgio, Vol. 6, Para. 211","viewsari:giocondo-fra","viewsari:marchissi-antonio-di-giorgio","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_gio-san_1","viewsari:cooccurrence","Co-occurrence of Giocondo, Fra and San Gallo, Antonio da (the younger), Vol. 6, Para. 211","viewsari:giocondo-fra","viewsari:san-gallo-antonio-da-the-younger","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_mar-san_1","viewsari:cooccurrence","Co-occurrence of Marchissi, Antonio di Giorgio and San Gallo, Giuliano da, Vol. 6, Para. 211","viewsari:marchissi-antonio-di-giorgio","viewsari:san-gallo-giuliano-da","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-san_2","viewsari:cooccurrence","Co-occurrence of San Gallo, Antonio da (the younger) and San Gallo, Giuliano da, Vol. 6, Para. 211","viewsari:san-gallo-antonio-da-the-younger","viewsari:san-gallo-giuliano-da","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_mar-san_1","viewsari:cooccurrence","Co-occurrence of Marchissi, Antonio di Giorgio and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 211","viewsari:marchissi-antonio-di-giorgio","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-san_1","viewsari:cooccurrence","Co-occurrence of San Gallo, Antonio da (the younger) and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 211","viewsari:san-gallo-antonio-da-the-younger","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-san_1","viewsari:cooccurrence","Co-occurrence of San Gallo, Antonio da (the younger) and Sansovino, Jacopo (Jacopo Tatti), Vol. 6, Para. 213","viewsari:san-gallo-antonio-da-the-younger","viewsari:sansovino-jacopo-jacopo-tatti","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_buo-san_1","viewsari:cooccurrence","Co-occurrence of Buonarroti, Michelagnolo and San Gallo, Antonio da (the younger), Vol. 6, Para. 228","viewsari:buonarroti-michelagnolo","viewsari:san-gallo-antonio-da-the-younger","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_mel-san_1","viewsari:cooccurrence","Co-occurrence of Melighino, Jacomo (Jacopo Melighini) and San Gallo, Antonio da (the younger), Vol. 6, Para. 233","viewsari:melighino-jacomo-jacopo-melighini","viewsari:san-gallo-antonio-da-the-younger","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_man-rom_1","viewsari:cooccurrence","Co-occurrence of Mantovano, Rinaldo and Romano, Giulio (Giulio Pippi de' Giannuzzi), Vol. 6, Para. 260","viewsari:mantovano-rinaldo","viewsari:romano-giulio-giulio-pippi-de-giannuzzi","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_d-r-rom_1","viewsari:cooccurrence","Co-occurrence of Dòrer, Albrecht and Romano, Giulio (Giulio Pippi de' Giannuzzi), Vol. 6, Para. 268","viewsari:d-rer-albrecht","viewsari:romano-giulio-giulio-pippi-de-giannuzzi","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_buo-rom_1","viewsari:cooccurrence","Co-occurrence of Buonarroti, Michelagnolo and Romano, Giulio (Giulio Pippi de' Giannuzzi), Vol. 6, Para. 270","viewsari:buonarroti-michelagnolo","viewsari:romano-giulio-giulio-pippi-de-giannuzzi","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bel-pio_1","viewsari:cooccurrence","Co-occurrence of Bellini, Giovanni and Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani), Vol. 6, Para. 277","viewsari:bellini-giovanni","viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_cas-pio_1","viewsari:cooccurrence","Co-occurrence of Castelfranco, Giorgione da and Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani), Vol. 6, Para. 277","viewsari:castelfranco-giorgione-da","viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bel-cas_1","viewsari:cooccurrence","Co-occurrence of Bellini, Giovanni and Castelfranco, Giorgione da, Vol. 6, Para. 277","viewsari:bellini-giovanni","viewsari:castelfranco-giorgione-da","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_pio-san_1","viewsari:cooccurrence","Co-occurrence of Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani) and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 278","viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_buo-san_2","viewsari:cooccurrence","Co-occurrence of Buonarroti, Michelagnolo and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 355","viewsari:buonarroti-michelagnolo","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_buo-pio_1","viewsari:cooccurrence","Co-occurrence of Buonarroti, Michelagnolo and Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani), Vol. 6, Para. 280","viewsari:buonarroti-michelagnolo","viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_sal-san_1","viewsari:cooccurrence","Co-occurrence of Salviati, Francesco (Francesco de' Rossi) and Sanzio, Raffaello (Raffaello da Urbino), Vol. 6, Para. 282","viewsari:salviati-francesco-francesco-de-rossi","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_pio-sal_1","viewsari:cooccurrence","Co-occurrence of Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani) and Salviati, Francesco (Francesco de' Rossi), Vol. 6, Para. 282","viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:salviati-francesco-francesco-de-rossi","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_pio-udi_1","viewsari:cooccurrence","Co-occurrence of Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani) and Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori), Vol. 6, Para. 287","viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:udine-giovanni-da-giovanni-nanni-or-de-ricamatori","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bug-buo_1","viewsari:cooccurrence","Co-occurrence of Bugiardini, Giuliano and Buonarroti, Michelagnolo, Vol. 6, Para. 291","viewsari:bugiardini-giuliano","viewsari:buonarroti-michelagnolo","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_bug-pio_1","viewsari:cooccurrence","Co-occurrence of Bugiardini, Giuliano and Piombo, Fra Sebastiano Viniziano del (Sebastiano Luciani), Vol. 6, Para. 291","viewsari:bugiardini-giuliano","viewsari:piombo-fra-sebastiano-viniziano-del-sebastiano-luciani","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_cer-vag_1","viewsari:cooccurrence","Co-occurrence of Ceri, Andrea de' and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 299","viewsari:ceri-andrea-de","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_ghi-vag_1","viewsari:cooccurrence","Co-occurrence of Ghirlandajo, Ridolfo and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 300","viewsari:ghirlandajo-ridolfo","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_cer-ghi_1","viewsari:cooccurrence","Co-occurrence of Ceri, Andrea de' and Ghirlandajo, Ridolfo, Vol. 6, Para. 300","viewsari:ceri-andrea-de","viewsari:ghirlandajo-ridolfo","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_vag-vag_1","viewsari:cooccurrence","Co-occurrence of Vaga, Perino del (Perino Buonaccorsi, or de' Ceri) and Vaga, Vol. 6, Para. 301","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:vaga","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_vag-vag_1","viewsari:cooccurrence","Co-occurrence of Vaga, Perino del (Perino Buonaccorsi, or de' Ceri) and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 301","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-udi_2","viewsari:cooccurrence","Co-occurrence of Sanzio, Raffaello (Raffaello da Urbino) and Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori), Vol. 6, Para. 304","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:udine-giovanni-da-giovanni-nanni-or-de-ricamatori","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-vag_1","viewsari:cooccurrence","Co-occurrence of Sanzio, Raffaello (Raffaello da Urbino) and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 304","viewsari:sanzio-raffaello-raffaello-da-urbino","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_udi-vag_1","viewsari:cooccurrence","Co-occurrence of Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori) and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 304","viewsari:udine-giovanni-da-giovanni-nanni-or-de-ricamatori","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_san-vag_1","viewsari:cooccurrence","Co-occurrence of San Gallo, Antonio da (the younger) and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 312","viewsari:san-gallo-antonio-da-the-younger","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_pil-vag_1","viewsari:cooccurrence","Co-occurrence of Piloto and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 316","viewsari:piloto","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_cer-pil_1","viewsari:cooccurrence","Co-occurrence of Ceri, Andrea de' and Piloto, Vol. 6, Para. 316","viewsari:ceri-andrea-de","viewsari:piloto","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_mas-vag_1","viewsari:cooccurrence","Co-occurrence of Masaccio and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 316","viewsari:masaccio","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_rom-vag_1","viewsari:cooccurrence","Co-occurrence of Romano, Giulio (Giulio Pippi de' Giannuzzi) and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 323","viewsari:romano-giulio-giulio-pippi-de-giannuzzi","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_vag-vin_1","viewsari:cooccurrence","Co-occurrence of Vaga, Perino del (Perino Buonaccorsi, or de' Ceri) and Viniziano, Niccola, Vol. 6, Para. 325","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:viniziano-niccola","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_tre-vag_1","viewsari:cooccurrence","Co-occurrence of Treviso, Girolamo da (Girolamo Trevigi) and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 326","viewsari:treviso-girolamo-da-girolamo-trevigi","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_sog-vag_2","viewsari:cooccurrence","Co-occurrence of Sogliani, Giovanni Antonio and Vaga, Perino del (Perino Buonaccorsi, or de' Ceri), Vol. 6, Para. 330","viewsari:sogliani-giovanni-antonio","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:cooccurrence_extraction_run_1"
"viewsari:cooccurrence_vag-vec_1","viewsari:cooccurrence","Co-occurrence of Vaga, Perino del (Perino Buonaccorsi, or de' Ceri) and Vecelli, Tiziano (Tiziano da Cadore), Vol. 6, Para. 340","viewsari:vaga-perino-del-perino-buonaccorsi-or-de-ceri","viewsari:vecelli-tiziano-tiziano-da-cadore","viewsari:cooccurrence_extraction_run_1"
