instance_id,n_distinct_pairs,n_distinct_persons,involves,involves_2,label
viewsari:cooccurrence_buo-fra_1,2,3,viewsari:buonarroti-michelagnolo,viewsari:franco-battista-battista-semolei,"Co-occurrence of Buonarroti, Michelagnolo and Franco, Battista (Battista Semolei), Vol. 8, Para. 130"
viewsari:cooccurrence_buo-fra_1,2,3,viewsari:buonarroti-michelagnolo,viewsari:francia-francesco,"Co-occurrence of Buonarroti, Michelagnolo and Francia, Francesco, Vol. 9, Para. 26"
viewsari:cooccurrence_buo-ghi_1,3,4,viewsari:buonarroti-michelagnolo,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,"Co-occurrence of Buonarroti, Michelagnolo and Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti), Vol. 2, Para. 140"
viewsari:cooccurrence_buo-ghi_1,3,4,viewsari:buonarroti-michelagnolo,viewsari:ghirlandajo-domenico,"Co-occurrence of Buonarroti, Michelagnolo and Ghirlandajo, Domenico, Vol. 6, Para. 102"
viewsari:cooccurrence_buo-ghi_1,3,4,viewsari:buonarroti-michelagnolo,viewsari:ghirlandajo-ridolfo,"Co-occurrence of Buonarroti, Michelagnolo and Ghirlandajo, Ridolfo, Vol. 8, Para. 1"
viewsari:cooccurrence_buo-ghi_2,2,3,viewsari:buonarroti-michelagnolo,viewsari:ghirlandajo-domenico,"Co-occurrence of Buonarroti, Michelagnolo and Ghirlandajo, Domenico, Vol. 9, Para. 4"
viewsari:cooccurrence_buo-ghi_2,2,3,viewsari:buonarroti-michelagnolo,viewsari:ghiberti-lorenzo-lorenzo-di-bartoluccio-ghiberti-or-lorenzo-di-cione-ghiberti,"Co-occurrence of Buonarroti, Michelagnolo and Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti), Vol. 9, Para. 154"
viewsari:cooccurrence_buo-san_1,5,6,viewsari:buonarroti-michelagnolo,viewsari:san-gallo-giuliano-da,"Co-occurrence of Buonarroti, Michelagnolo and San Gallo, Giuliano da, Vol. 4, Para. 271"
viewsari:cooccurrence_buo-san_1,5,6,viewsari:buonarroti-michelagnolo,viewsari:sanzio-raffaello-raffaello-da-urbino,"Co-occurrence of Buonarroti, Michelagnolo and Sanzio, Raffaello (Raffaello da Urbino), Vol. 4, Para. 304"
viewsari:cooccurrence_buo-san_1,5,6,viewsari:buonarroti-michelagnolo,viewsari:san-gallo-antonio-da-the-younger,"Co-occurrence of Buonarroti, Michelagnolo and San Gallo, Antonio da (the younger), Vol. 6, Para. 228"
viewsari:cooccurrence_buo-san_1,5,6,viewsari:buonarroti-michelagnolo,viewsari:san-gallo-aristotile-bastiano-da,"Co-occurrence of Buonarroti, Michelagnolo and San Gallo, Aristotile (Bastiano) da, Vol. 8, Para. 1"
viewsari:cooccurrence_buo-san_1,5,6,viewsari:buonarroti-michelagnolo,viewsari:sansovino-jacopo-jacopo-tatti,"Co-occurrence of Buonarroti, Michelagnolo and Sansovino, Jacopo (Jacopo Tatti), Vol. 9, Para. 323"
