instance_id,rdf:type,oa:start,oa:end
viewsari:position-selector_24936,doco:TextPositionSelector,853,880
viewsari:position-selector_24937,doco:TextPositionSelector,1669,1679
viewsari:position-selector_24938,doco:TextPositionSelector,1191,1589
viewsari:position-selector_24939,doco:TextPositionSelector,445,455
viewsari:position-selector_24940,doco:TextPositionSelector,941,951
viewsari:position-selector_24941,doco:TextPositionSelector,321,331
viewsari:position-selector_24942,doco:TextPositionSelector,848,954
viewsari:position-selector_24943,doco:TextPositionSelector,848,954
viewsari:position-selector_24944,doco:TextPositionSelector,848,954
viewsari:position-selector_24945,doco:TextPositionSelector,848,954
viewsari:position-selector_24946,doco:TextPositionSelector,367,407
viewsari:position-selector_24947,doco:TextPositionSelector,314,333
viewsari:position-selector_24948,doco:TextPositionSelector,533,579
viewsari:position-selector_24949,doco:TextPositionSelector,449,471
viewsari:position-selector_24950,doco:TextPositionSelector,779,824
viewsari:position-selector_24951,doco:TextPositionSelector,456,467
viewsari:position-selector_24952,doco:TextPositionSelector,629,646
viewsari:position-selector_24953,doco:TextPositionSelector,495,540
viewsari:position-selector_24954,doco:TextPositionSelector,187,204
viewsari:position-selector_24955,doco:TextPositionSelector,187,204
viewsari:position-selector_24956,doco:TextPositionSelector,843,852
viewsari:position-selector_24957,doco:TextPositionSelector,236,424
viewsari:position-selector_24958,doco:TextPositionSelector,95,207
viewsari:position-selector_24959,doco:TextPositionSelector,453,475
viewsari:position-selector_24960,doco:TextPositionSelector,904,943
viewsari:position-selector_24961,doco:TextPositionSelector,175,294
viewsari:position-selector_24962,doco:TextPositionSelector,369,401
viewsari:position-selector_24963,doco:TextPositionSelector,398,446
viewsari:position-selector_24964,doco:TextPositionSelector,439,472
viewsari:position-selector_24965,doco:TextPositionSelector,165,183
viewsari:position-selector_24966,doco:TextPositionSelector,165,183
viewsari:position-selector_24967,doco:TextPositionSelector,943,964
viewsari:position-selector_24968,doco:TextPositionSelector,720,898
viewsari:position-selector_24969,doco:TextPositionSelector,1082,1103
viewsari:position-selector_24970,doco:TextPositionSelector,453,519
viewsari:position-selector_24971,doco:TextPositionSelector,163,175
viewsari:position-selector_24972,doco:TextPositionSelector,409,429
viewsari:position-selector_24973,doco:TextPositionSelector,566,576
viewsari:position-selector_24974,doco:TextPositionSelector,163,190
viewsari:position-selector_24975,doco:TextPositionSelector,315,355
viewsari:position-selector_24976,doco:TextPositionSelector,315,376
viewsari:position-selector_24977,doco:TextPositionSelector,651,672
viewsari:position-selector_24978,doco:TextPositionSelector,166,195
viewsari:position-selector_24979,doco:TextPositionSelector,397,408
viewsari:position-selector_24980,doco:TextPositionSelector,635,681
viewsari:position-selector_24981,doco:TextPositionSelector,177,190
viewsari:position-selector_24982,doco:TextPositionSelector,78,156
viewsari:position-selector_24983,doco:TextPositionSelector,37,68
viewsari:position-selector_24984,doco:TextPositionSelector,1541,1595
viewsari:position-selector_24985,doco:TextPositionSelector,998,1016
viewsari:position-selector_24986,doco:TextPositionSelector,226,247
viewsari:position-selector_24987,doco:TextPositionSelector,126,232
viewsari:position-selector_24988,doco:TextPositionSelector,126,232
viewsari:position-selector_24989,doco:TextPositionSelector,906,936
viewsari:position-selector_24990,doco:TextPositionSelector,1183,1204
viewsari:position-selector_24991,doco:TextPositionSelector,545,577
viewsari:position-selector_24992,doco:TextPositionSelector,278,295
viewsari:position-selector_24993,doco:TextPositionSelector,42,146
viewsari:position-selector_24994,doco:TextPositionSelector,1002,1012
viewsari:position-selector_24995,doco:TextPositionSelector,516,541
viewsari:position-selector_24996,doco:TextPositionSelector,708,727
viewsari:position-selector_24997,doco:TextPositionSelector,800,810
viewsari:position-selector_24998,doco:TextPositionSelector,1402,1435
viewsari:position-selector_24999,doco:TextPositionSelector,1353,1400
viewsari:position-selector_25000,doco:TextPositionSelector,513,545
viewsari:position-selector_25001,doco:TextPositionSelector,826,1021
viewsari:position-selector_25002,doco:TextPositionSelector,826,1021
viewsari:position-selector_25003,doco:TextPositionSelector,218,257
viewsari:position-selector_25004,doco:TextPositionSelector,68,132
viewsari:position-selector_25005,doco:TextPositionSelector,603,632
viewsari:position-selector_25006,doco:TextPositionSelector,1236,1243
viewsari:position-selector_25007,doco:TextPositionSelector,1770,1777
viewsari:position-selector_25008,doco:TextPositionSelector,1367,1390
viewsari:position-selector_25009,doco:TextPositionSelector,508,534
viewsari:position-selector_25010,doco:TextPositionSelector,357,404
